row_label_raw,row_label_full,CHỈ TIÊU,CHỈ TIÊU_1,Mã số,Thuyết minh,Số năm nay,Số năm trước,numeric__CHỈ TIÊU_1,numeric__Mã số,numeric__Thuyết minh,numeric__Số năm nay,numeric__Số năm trước
1.,1.,1.,Doanh thu bán hàng và cung cấp dịch vụ,01,VI.1,12.713.921.164.114,11.714.499.801.011,,1.0,,12713921164114.0,11714499801011.0
2.,2.,2.,Các khoản giảm trừ doanh thu,02,,-,-,,2.0,,,
3.,3.,3.,Doanh thu thuần về bán hàng và cung cấp dịch vụ,10,,12.713.921.164.114,11.714.499.801.011,,10.0,,12713921164114.0,11714499801011.0
4.,4.,4.,Giá vốn hàng bán,11,VI.2,11.524.968.220.354,10.533.522.669.752,,11.0,,11524968220354.0,10533522669752.0
5.,5.,5.,Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,20,,1.188.952.943.760,1.180.977.131.259,,20.0,,1188952943760.0,1180977131259.0
6.,6.,6.,Doanh thu hoạt động tài chính,21,VI.3,228.077.248.469,228.007.965.033,,21.0,,228077248469.0,228007965033.0
7.,7.,7.,Chi phí tài chính,22,VI.4,294.553.904.586,435.464.157.514,,22.0,,294553904586.0,435464157514.0
7.,7.,7.,Trong đó: chi phí lãi vay,23,,192.742.831.710,335.624.414.354,,23.0,,192742831710.0,335624414354.0
8.,8.,8.,Chi phí bán hàng,25,,-,-,,25.0,,,
9.,9.,9.,Chi phí quản lý doanh nghiệp,26,VI.5,366.545.063.062,349.240.051.579,,26.0,,366545063062.0,349240051579.0
10.,10.,10.,Lợi nhuận thuần từ hoạt động kinh doanh,30,,755.931.224.581,624.280.887.199,,30.0,,755931224581.0,624280887199.0
11.,11.,11.,Thu nhập khác,31,VI.6,22.076.513.070,4.823.211.389,,31.0,,22076513070.0,4823211389.0
12.,12.,12.,Chi phí khác,32,VI.7,15.450.250.396,2.055.341.399,,32.0,,15450250396.0,2055341399.0
13.,13.,13.,Lợi nhuận khác,40,,6.626.262.674,2.767.869.990,,40.0,,6626262674.0,2767869990.0
14.,14.,14.,Tổng lợi nhuận kế toán trước thuế,50,,762.557.487.255,627.048.757.189,,50.0,,762557487255.0,627048757189.0
15.,15.,15.,Chi phí thuế thu nhập doanh nghiệp hiện hành,51,VI.9,59.629.430.574,76.219.836.694,,51.0,,59629430574.0,76219836694.0
16.,16.,16.,Chi phí thuế thu nhập doanh nghiệp hoãn lại,52,,-,-,,52.0,,,
17.,17.,17.,Lợi nhuận sau thuế thu nhập doanh nghiệp,60,,702.928.056.681,550.828.920.495,,60.0,,702928056681.0,550828920495.0
