row_label_raw,row_label_full,Chỉ tiêu,Mã số,Số đã báo cáo,Điều chỉnh,Số sau điều chỉnh,numeric__Mã số,numeric__Số đã báo cáo,numeric__Điều chỉnh,numeric__Số sau điều chỉnh
TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,,,,
TÀI SẢN NGẮN HẠN,TÀI SẢN > TÀI SẢN NGẮN HẠN,TÀI SẢN NGẮN HẠN,100,5.545.947.645.430,910.711.701,5.546.858.357.131,100.0,5545947645430.0,910711701.0,5546858357131.0
Tài sản ngắn hạn khác,TÀI SẢN > Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,150,145.583.076.478,910.711.701,146.493.788.179,150.0,145583076478.0,910711701.0,146493788179.0
Chi phí trả trước ngắn hạn,TÀI SẢN > Chi phí trả trước ngắn hạn,Chi phí trả trước ngắn hạn,151,2.956.942.382,910.711.701,3.867.654.083,151.0,2956942382.0,910711701.0,3867654083.0
TÀI SẢN DÀI HẠN,TÀI SẢN > TÀI SẢN DÀI HẠN,TÀI SẢN DÀI HẠN,200,10.664.276.453.601,3.043.953.549,10.667.320.407.150,200.0,10664276453601.0,3043953549.0,10667320407150.0
Tài sản cố định,TÀI SẢN > Tài sản cố định,Tài sản cố định,220,8.939.334.030.090,1.179.751.955,8.940.513.782.045,220.0,8939334030090.0,1179751955.0,8940513782045.0
Tài sản cố định hữu hình,TÀI SẢN > Tài sản cố định hữu hình,Tài sản cố định hữu hình,221,8.886.395.886.480,1.179.751.955,8.887.575.638.435,221.0,8886395886480.0,1179751955.0,8887575638435.0
Nguyên giá,TÀI SẢN > Nguyên giá,Nguyên giá,222,32.831.625.631.248,1.316.855.549,32.832.942.486.797,222.0,32831625631248.0,1316855549.0,32832942486797.0
Giá trị hao mòn lũy kế,TÀI SẢN > Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,223,(23.945.229.744.768),(137.103.594),(23.945.366.848.362),223.0,-23945229744768.0,-137103594.0,-23945366848362.0
Tài sản dài hạn khác,TÀI SẢN > Tài sản dài hạn khác,Tài sản dài hạn khác,260,187.440.920.874,1.864.201.594,189.305.122.468,260.0,187440920874.0,1864201594.0,189305122468.0
Chi phí trả trước dài hạn,TÀI SẢN > Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,261,58.653.956.387,1.864.201.594,60.518.157.981,261.0,58653956387.0,1864201594.0,60518157981.0
TỔNG CỘNG TÀI SẢN,TÀI SẢN > TỔNG CỘNG TÀI SẢN,TỔNG CỘNG TÀI SẢN,270,16.210.224.099.031,3.954.665.250,16.214.178.764.281,270.0,16210224099031.0,3954665250.0,16214178764281.0
