row_label_raw,row_label_full,col_0,Nhà cửa vật kiến trúc,Máy móc thiết bị,Phương tiện vận tải và thiết bị truyền dẫn,Thiết bị quản lý,TSCĐ khác,Tổng cộng,numeric__Nhà cửa vật kiến trúc,numeric__Máy móc thiết bị,numeric__Phương tiện vận tải và thiết bị truyền dẫn,numeric__Thiết bị quản lý,numeric__TSCĐ khác,numeric__Tổng cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,8.593.402.493.858,23.806.468.892.724,379.730.718.347,37.838.399.055,15.501.982.813,32.832.942.486.797,8593402493858.0,23806468892724.0,379730718347.0,37838399055.0,15501982813.0,32832942486797.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,-,-,1.055.454.545,1.784.076.533,-,2.839.531.078,,,1055454545.0,1784076533.0,,2839531078.0
Đầu tư XDCB hoàn thành,Nguyên giá > Đầu tư XDCB hoàn thành,Đầu tư XDCB hoàn thành,441.434.768,133.145.888.613,9.423.403.388,15.484.225.000,-,158.494.951.769,441434768.0,133145888613.0,9423403388.0,15484225000.0,,158494951769.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,-,(3.863.269.222),-,-,(3.863.269.222),,,-3863269222.0,,,-3863269222.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,8.593.843.928.626,23.939.614.781.337,386.346.307.058,55.106.700.588,15.501.982.813,32.990.413.700.422,8593843928626.0,23939614781337.0,386346307058.0,55106700588.0,15501982813.0,32990413700422.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,4.157.224.864.799,19.365.851.792.484,378.234.945.169,29.897.245.242,14.158.000.668,23.945.366.848.362,4157224864799.0,19365851792484.0,378234945169.0,29897245242.0,14158000668.0,23945366848362.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,326.491.834.839,923.473.216.333,1.531.514.371,3.490.907.382,332.863.752,1.255.320.336.677,326491834839.0,923473216333.0,1531514371.0,3490907382.0,332863752.0,1255320336677.0
Hao mòn trong năm,Giá trị hao mòn lũy kế > Hao mòn trong năm,Hao mòn trong năm,2.161.376.803,-,-,-,-,2.161.376.803,2161376803.0,,,,,2161376803.0
"Thanh lý, nhượng bán","Giá trị hao mòn lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,-,(3.863.269.222),-,-,(3.863.269.222),,,-3863269222.0,,,-3863269222.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,4.485.878.076.441,20.289.325.008.817,375.903.190.318,33.388.152.624,14.490.864.420,25.198.985.292.620,4485878076441.0,20289325008817.0,375903190318.0,33388152624.0,14490864420.0,25198985292620.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,4.436.177.629.059,4.440.617.100.240,1.495.773.178,7.941.153.813,1.343.982.145,8.887.575.638.435,4436177629059.0,4440617100240.0,1495773178.0,7941153813.0,1343982145.0,8887575638435.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,4.107.965.852.185,3.650.289.772.520,10.443.116.740,21.718.547.964,1.011.118.393,7.791.428.407.802,4107965852185.0,3650289772520.0,10443116740.0,21718547964.0,1011118393.0,7791428407802.0
