row_label_raw,row_label_full,CHỈ TIÊU,CHỈ TIÊU_1,Mã số,Thuyết minh,Số năm nay,Số năm trước,numeric__CHỈ TIÊU_1,numeric__Mã số,numeric__Thuyết minh,numeric__Số năm nay,numeric__Số năm trước
I. Lưu chuyển tiền từ hoạt động kinh doanh,I. Lưu chuyển tiền từ hoạt động kinh doanh,I. Lưu chuyển tiền từ hoạt động kinh doanh,I. Lưu chuyển tiền từ hoạt động kinh doanh,I. Lưu chuyển tiền từ hoạt động kinh doanh,I. Lưu chuyển tiền từ hoạt động kinh doanh,I. Lưu chuyển tiền từ hoạt động kinh doanh,I. Lưu chuyển tiền từ hoạt động kinh doanh,,,,,
1.,I. Lưu chuyển tiền từ hoạt động kinh doanh > 1.,1.,Lợi nhuận trước thuế,01,,762.557.487.255,627.048.757.189,,1.0,,762557487255.0,627048757189.0
2.,2.,2.,Điều chỉnh cho các khoản:,,,,,,,,,
-,2. > -,-,Khấu hao tài sản cố định và bất động sản đầu tư,02,,1.256.917.260.811,1.447.982.954.309,,2.0,,1256917260811.0,1447982954309.0
-,2. > -,-,Các khoản dự phòng,03,,9.277.860.205,-,,3.0,,9277860205.0,
-,2. > -,-,"Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ",04,,60.148.729.785,63.262.489.533,,4.0,,60148729785.0,63262489533.0
-,2. > -,-,"Lãi, lỗ từ hoạt động đầu tư",05,,(218.952.243.685),(222.965.623.006),,5.0,,-218952243685.0,-222965623006.0
-,2. > -,-,Chi phí lãi vay,06,,192.742.831.710,335.624.414.354,,6.0,,192742831710.0,335624414354.0
-,2. > -,-,Các khoản điều chỉnh khác,07,,(11.267.980.450),-,,7.0,,-11267980450.0,
3.,2. > 3.,3.,Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,08,,2.051.423.945.631,2.250.952.992.379,,8.0,,2051423945631.0,2250952992379.0
-,2. > -,-,"Tăng, giảm các khoản phải thu",09,,511.392.875.739,(1.378.984.017.843),,9.0,,511392875739.0,-1378984017843.0
-,2. > -,-,"Tăng, giảm hàng tồn kho",10,,(79.553.404.308),54.668.266.987,,10.0,,-79553404308.0,54668266987.0
-,2. > -,-,"Tăng, giảm các khoản phải trả",11,,(288.142.839.654),1.384.644.188.434,,11.0,,-288142839654.0,1384644188434.0
-,2. > -,-,"Tăng, giảm chi phí trả trước",12,,(30.148.973.795),15.119.848.104,,12.0,,-30148973795.0,15119848104.0
-,2. > -,-,"Tăng, giảm chứng khoán kinh doanh",13,,-,-,,13.0,,,
-,2. > -,-,Tiền lãi vay đã trả,14,,(204.614.504.772),(345.455.362.740),,14.0,,-204614504772.0,-345455362740.0
-,2. > -,-,Thuế thu nhập doanh nghiệp đã nộp,15,,(73.768.478.591),(66.289.447.349),,15.0,,-73768478591.0,-66289447349.0
-,2. > -,-,Tiền thu khác từ hoạt động kinh doanh,16,,22.871.316.318,21.394.235.176,,16.0,,22871316318.0,21394235176.0
-,2. > -,-,Tiền chi khác cho hoạt động kinh doanh,17,,(68.402.013.933),(60.289.386.440),,17.0,,-68402013933.0,-60289386440.0
,,,Lưu chuyển tiền thuần từ hoạt động kinh doanh,20,,1.841.057.922.635,1.875.761.316.708,,20.0,,1841057922635.0,1875761316708.0
