row_label_raw,row_label_full,"[1] Vay ngân hàng ngắn hạnBên cho vay > Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh (""CN"") Tây Hồ > Ngân hàng TMCP Công Thương Việt Nam - CN Cẩm Phà > Ngân hàng TMCP Công thương Việt Nam - CN Hai Bà Trung > Ngân hàng TMCP Quân đội - CN Ba Đình > Ngân hàng TMCP Ngoại thương Việt Nam - CN Hà Thành",Thời hạnvay > 05 tháng > 03 tháng > Tối đa 05 tháng,"Lãi suất(%/năm) > 2,2% -3%/năm > 3,1% -3,5%/năm > 4%/năm > 2,2% -3,7%/năm",Mục đích khoản vay > Bổ sung vốn lưu động phục vụ hoạt động sản xuất kinh doanh.,Tài sản đảm bảo > Cấp tín dụng không có đảm bảo bằng tài sản.,Số dư tại ngày cuối năm > 175.000.000.000 > 126.000.000.000 > 223.000.000.000 > 89.000.000.000 > 1.067.000.000.000,numeric__Thời hạnvay > 05 tháng > 03 tháng > Tối đa 05 tháng,"numeric__Lãi suất(%/năm) > 2,2% -3%/năm > 3,1% -3,5%/năm > 4%/năm > 2,2% -3,7%/năm",numeric__Mục đích khoản vay > Bổ sung vốn lưu động phục vụ hoạt động sản xuất kinh doanh.,numeric__Tài sản đảm bảo > Cấp tín dụng không có đảm bảo bằng tài sản.,numeric__Số dư tại ngày cuối năm > 175.000.000.000 > 126.000.000.000 > 223.000.000.000 > 89.000.000.000 > 1.067.000.000.000
Cộng,Cộng,Cộng,,,,,1.680.000.000.000,,,,,1680000000000.0
[2] Vay ngân hàng dài hạnBên cho vay,[2] Vay ngân hàng dài hạnBên cho vay,[2] Vay ngân hàng dài hạnBên cho vay,Thời hạnvay,Lãi suất(%/năm),Mục đích khoản vay,Tài sản đảm bảo,Số dư dài hạn đến hạn trả tại cuối năm,,,,,
Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - CN Tây Hồ,[2] Vay ngân hàng dài hạnBên cho vay > Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - CN Tây Hồ,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - CN Tây Hồ,84 tháng,"Thả nói, lãi suất trong kỳ từ 6,78% -7,68%/năm","Thanh toán các chi phí thực hiện các dự án đầu tư tại các NMND Na Dương, NMND Cao Ngạn, NMND Sơn Đông, NMND Mạo Khê, NMND Cẩm Phà, NMTĐ Đồng Nai 5.",Toàn bộ tài sản hình thành của dự án đầu tư.,11.765.858.545,,,,,11765858545.0
