row_label_raw,row_label_full,Thuế thu nhập hoãn lại phải trả,11.395.773.115,28.435.312.234,39.831.085.349,numeric__11.395.773.115,numeric__28.435.312.234,numeric__39.831.085.349
Lợi nhuận sau thuế chưa phân phối,Lợi nhuận sau thuế chưa phân phối,Lợi nhuận sau thuế chưa phân phối,79.651.837.033,(17.667.304.185),61.984.532.848,79651837033.0,-17667304185.0,61984532848.0
Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,735.838.790.946,8.191.456.064,744.030.247.010,735838790946.0,8191456064.0,744030247010.0
Phải thu dài hạn của khách hàng,Phải thu dài hạn của khách hàng,Phải thu dài hạn của khách hàng,-,2.576.551.985,2.576.551.985,,2576551985.0,2576551985.0
