row_label_raw,row_label_full,col_0,Số cuối năm,VND Số đầu năm,numeric__Số cuối năm,numeric__VND Số đầu năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,
Các bên liên quan (Thuyết minh số 33),Ngắn hạn > Các bên liên quan (Thuyết minh số 33),Các bên liên quan (Thuyết minh số 33),334.850.089.694,336.803.721.641,334850089694.0,336803721641.0
Các bên khác,Các bên khác,Các bên khác,Các bên khác,Các bên khác,,
- Phải thu từ Ban Quản lý Dự án Sở Xây dựng Tĩnh Bà Rịa – Vũng Tàu,Các bên khác > - Phải thu từ Ban Quản lý Dự án Sở Xây dựng Tĩnh Bà Rịa – Vũng Tàu,- Phải thu từ Ban Quản lý Dự án Sở Xây dựng Tĩnh Bà Rịa – Vũng Tàu,20.557.404.736,50.815.404.736,20557404736.0,50815404736.0
- Khác,Các bên khác > - Khác,- Khác,141.013.178.519,166.108.050.310,141013178519.0,166108050310.0
,,,496.420.672.949,553.727.176.687,496420672949.0,553727176687.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,
Các bên liên quan (Thuyết minh số 33),Dài hạn > Các bên liên quan (Thuyết minh số 33),Các bên liên quan (Thuyết minh số 33),167.255.979.388,192.879.622.308,167255979388.0,192879622308.0
TỔNG CỘNG,Dài hạn > TỔNG CỘNG,TỔNG CỘNG,663.676.652.337,746.606.798.995,663676652337.0,746606798995.0
Dự phòng phải thu khó đòi,Dài hạn > Dự phòng phải thu khó đòi,Dự phòng phải thu khó đòi,(12.073.410.358),(6.239.895.350),-12073410358.0,-6239895350.0
GIÁ TRỊ THUÀN,Dài hạn > GIÁ TRỊ THUÀN,GIÁ TRỊ THUÀN,651.603.241.979,740.366.903.645,651603241979.0,740366903645.0
