row_label_raw,row_label_full,col_0,Năm nay,VNDNăm trước,numeric__Năm nay,numeric__VNDNăm trước
Tổng doanh thu,Tổng doanh thu,Tổng doanh thu,692.022.624.428,699.506.554.879,692022624428.0,699506554879.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Doanh thu bán hàng hóa,Trong đó: > Doanh thu bán hàng hóa,Doanh thu bán hàng hóa,352.624.717.809,295.708.101.781,352624717809.0,295708101781.0
Doanh thu bán hàng hóa bất động sản,Trong đó: > Doanh thu bán hàng hóa bất động sản,Doanh thu bán hàng hóa bất động sản,182.425.765.204,138.449.902.669,182425765204.0,138449902669.0
Doanh thu cung cấp dịch vụ,Trong đó: > Doanh thu cung cấp dịch vụ,Doanh thu cung cấp dịch vụ,94.423.745.486,68.021.016.491,94423745486.0,68021016491.0
Doanh thu hợp đồng xây dựng,Trong đó: > Doanh thu hợp đồng xây dựng,Doanh thu hợp đồng xây dựng,56.232.671.679,197.327.533.938,56232671679.0,197327533938.0
Doanh thu khác,Trong đó: > Doanh thu khác,Doanh thu khác,6.315.724.250,-,6315724250.0,
Các khoản giảm trừ doanh thu,Trong đó: > Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,(36.797.377.674),(8.476.033.717),-36797377674.0,-8476033717.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Hàng bán trả lại,Trong đó: > Hàng bán trả lại,Hàng bán trả lại,(36.792.675.729),(8.143.234.922),-36792675729.0,-8143234922.0
Thuế tiêu thụ đặc biệt,Trong đó: > Thuế tiêu thụ đặc biệt,Thuế tiêu thụ đặc biệt,-,(332.798.795),,-332798795.0
Chiết khấu thương mại,Trong đó: > Chiết khấu thương mại,Chiết khấu thương mại,(4.701.945),-,-4701945.0,
Doanh thu thuần,Trong đó: > Doanh thu thuần,Doanh thu thuần,655.225.246.754,691.030.521.162,655225246754.0,691030521162.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Doanh thu bán hàng hóa,Trong đó: > Doanh thu bán hàng hóa,Doanh thu bán hàng hóa,352.624.717.809,295.375.302.986,352624717809.0,295375302986.0
Doanh thu bán hàng hóa bất động sản,Trong đó: > Doanh thu bán hàng hóa bất động sản,Doanh thu bán hàng hóa bất động sản,145.633.089.475,130.306.667.747,145633089475.0,130306667747.0
Doanh thu cung cấp dịch vụ,Trong đó: > Doanh thu cung cấp dịch vụ,Doanh thu cung cấp dịch vụ,94.419.043.541,68.021.016.491,94419043541.0,68021016491.0
Doanh thu hợp đồng xây dựng,Trong đó: > Doanh thu hợp đồng xây dựng,Doanh thu hợp đồng xây dựng,56.232.671.679,197.327.533.938,56232671679.0,197327533938.0
Doanh thu khác,Trong đó: > Doanh thu khác,Doanh thu khác,6.315.724.250,-,6315724250.0,
