row_label_raw,row_label_full,col_0,VND,numeric__VND
,,,Quyền sử dụng đất,
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,
Số đầu năm và số cuối năm,Nguyên giá: > Số đầu năm và số cuối năm,Số đầu năm và số cuối năm,144.455.832.878,144455832878.0
Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,
Số đầu năm,Giá trị hao mòn lũy kế: > Số đầu năm,Số đầu năm,(17.575.459.657),-17575459657.0
Hao mòn trong năm,Giá trị hao mòn lũy kế: > Hao mòn trong năm,Hao mòn trong năm,(2.889.116.656),-2889116656.0
Số cuối năm,Giá trị hao mòn lũy kế: > Số cuối năm,Số cuối năm,(20.464.576.313),-20464576313.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,126.880.373.221,126880373221.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,123.991.256.565,123991256565.0
