row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Nghiệp vụ,Phải thu (Phải trả),Phải thu (Phải trả)_1,numeric__Mối quan hệ,numeric__Nghiệp vụ,numeric__Phải thu (Phải trả),numeric__Phải thu (Phải trả)_1
Bên liên quan,Bên liên quan,Bên liên quan,Mối quan hệ,Nghiệp vụ,Số cuối năm,Số đầu năm,,,,
Phải thu khách hàng,Phải thu khách hàng,Phải thu khách hàng,Phải thu khách hàng,Phải thu khách hàng,Phải thu khách hàng,Phải thu khách hàng,,,,
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,,,
Công ty Cổ phần Đầu tư Phát triển Phương Nam,Ngắn hạn > Công ty Cổ phần Đầu tư Phát triển Phương Nam,Công ty Cổ phần Đầu tư Phát triển Phương Nam,Công ty liên kết,Cung cấp dịch vụ,11.326.239.988,543.905.701,,,11326239988.0,543905701.0
Công ty Cổ phần DIC Số 4,Ngắn hạn > Công ty Cổ phần DIC Số 4,Công ty Cổ phần DIC Số 4,Công ty liên kết,Cung cấp dịch vụ,2.044.695.188,-,,,2044695188.0,
Công ty Cổ phần Đầu tư Phát triển Xây dựng (DIC) Số 2,Ngắn hạn > Công ty Cổ phần Đầu tư Phát triển Xây dựng (DIC) Số 2,Công ty Cổ phần Đầu tư Phát triển Xây dựng (DIC) Số 2,Công ty liên kết,Cung cấp dịch vụ,181.352.524,46.019.672,,,181352524.0,46019672.0
Công ty Trách nhiệm Hữu hạn J&D Đại An,Ngắn hạn > Công ty Trách nhiệm Hữu hạn J&D Đại An,Công ty Trách nhiệm Hữu hạn J&D Đại An,Công ty liên kết,Cung cấp dịch vụ,93.082.175,-,,,93082175.0,
Công ty Cổ phần Đầu tư Phát triển Xây dựng - Bê Tông,Ngắn hạn > Công ty Cổ phần Đầu tư Phát triển Xây dựng - Bê Tông,Công ty Cổ phần Đầu tư Phát triển Xây dựng - Bê Tông,Công ty liên kết,Cung cấp dịch vụ,15.000.480,15.221.580,,,15000480.0,15221580.0
Công ty Cổ phần Bất Đông Sản DIC,Ngắn hạn > Công ty Cổ phần Bất Đông Sản DIC,Công ty Cổ phần Bất Đông Sản DIC,Công ty liên kết,Cung cấp dịch vụ,14.025.000,-,,,14025000.0,
Công ty Cổ phần Gạch men Anh em DIC,Ngắn hạn > Công ty Cổ phần Gạch men Anh em DIC,Công ty Cổ phần Gạch men Anh em DIC,Công ty liên kết,Cung cấp dịch vụ,2.675.640,-,,,2675640.0,
Công ty Cổ phần Đầu tư Phát triển Xây dựng Du Lịch Thế Thao Vũng Tàu,Ngắn hạn > Công ty Cổ phần Đầu tư Phát triển Xây dựng Du Lịch Thế Thao Vũng Tàu,Công ty Cổ phần Đầu tư Phát triển Xây dựng Du Lịch Thế Thao Vũng Tàu,Công ty liên kết,,2.994.288,2.502.500,,,2994288.0,2502500.0
Công ty Cổ phần Đầu tư Phát triển Xây dựng Thanh Bình,Ngắn hạn > Công ty Cổ phần Đầu tư Phát triển Xây dựng Thanh Bình,Công ty Cổ phần Đầu tư Phát triển Xây dựng Thanh Bình,Công ty liên kết,Cung cấp dịch vụ,6.125.160,-,,,6125160.0,
Công ty Cổ phần Đầu tư Xây dựng ATA,Ngắn hạn > Công ty Cổ phần Đầu tư Xây dựng ATA,Công ty Cổ phần Đầu tư Xây dựng ATA,Bên liên quan,Cung cấp dịch vụ,2.607.565.448,-,,,2607565448.0,
Công ty Cổ phần Vina Đại Phước,Ngắn hạn > Công ty Cổ phần Vina Đại Phước,Công ty Cổ phần Vina Đại Phước,Công ty liên kết,Chuyển nhượng quyền sử dụng đất,239.756.372.673,261.213.682.445,,,239756372673.0,261213682445.0
Công ty Cổ phần Đầu tư Việt Thiên Lâm,Ngắn hạn > Công ty Cổ phần Đầu tư Việt Thiên Lâm,Công ty Cổ phần Đầu tư Việt Thiên Lâm,Công ty liên kết,Chuyển nhượng quyền sử dụng đất,78.799.961.130,74.982.389.743,,,78799961130.0,74982389743.0
,,,,,334.850.089.694,336.803.721.641,,,334850089694.0,336803721641.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,,,
Công ty Cổ phần Đầu tư Việt Thiên Lâm,Dài hạn > Công ty Cổ phần Đầu tư Việt Thiên Lâm,Công ty Cổ phần Đầu tư Việt Thiên Lâm,Công ty liên kết,Chuyển nhượng quyền sử dụng đất,118.199.941.694,112.473.584.614,,,118199941694.0,112473584614.0
Công ty Cổ phần Bất động sản DIC,Dài hạn > Công ty Cổ phần Bất động sản DIC,Công ty Cổ phần Bất động sản DIC,Công ty liên kết,Chuyển nhượng dự án,-,31.350.000.000,,,,31350000000.0
Ông Lê Văn Hường,Dài hạn > Ông Lê Văn Hường,Ông Lê Văn Hường,Bên liên quan,Chuyển nhượng cổ phiếu,8.318.000.000,8.318.000.000,,,8318000000.0,8318000000.0
Ông Nguyễn Vũ Tuấn,Dài hạn > Ông Nguyễn Vũ Tuấn,Ông Nguyễn Vũ Tuấn,Bên liên quan,Chuyển nhượng cổ phiếu,20.369.016.499,20.369.016.499,,,20369016499.0,20369016499.0
