row_label_raw,row_label_full,"Bên cho vay > Ngân hàng Thương mạiCổ phần Đầu tư và Phát triển Việt Nam – Chi nhánh tỉnh Bà Rịa – Vũng Tàu > Ngân hàng Nông nghiệp và Phát triển Nông thôn, Chi nhánh Đồng Nai > Ngân hàng Thương mạiCổ phần Phát triển Thành phố Hồ Chí Minh, Chi nhánh Vũng Tàu > Ngân hàng Thương mạiCổ phần Ngoại thương, Chi nhánh Quảng Nam > Ngân hàng Thương mạiCổ phần Sài GònThương Tín",Số cuối nămVND > 21.613.658.257 > 192.586.092.340 > 104.539.883.450 > 3.340.000.000 > 306.181.818,"Kỳ hạn thanh toán > Nợ gốc được trả từ ngày 3 tháng 4 năm2016 đến ngày 17 tháng 11 năm 2016Lãi vay được trả vào ngày 23 hàng tháng > Nợ gốc được trả từ ngày 31 tháng 3 năm 2016 đến ngày 30 tháng 9 năm2016. Lãi vay được trả vào ngày cuối mỗi quý > Thời gian ăn hạn gốc: 06 tháng kể từ ngày bên vay nhận tiến vay lần đầu tiên, tức ngày 21 tháng 6 năm 2013Nợ gốc được trả từ ngày 21 tháng 3 năm2016 đến ngày 21 tháng 6 năm 2016Lãi vay được trả hàng quý, kể từ ngày bên vay nhận tiến vay lần đầu > Thời gian trả gốc: 60 tháng kể từ ngày nhận nợ đầu tiếntức là ngày 15 tháng 8 năm 2019 > Thời gian trả gốc: 24 tháng kể từ ngày 16 tháng 12 năm 2015 tức là ngày 16 tháng 12 năm 2017","Lãi suất(%/năm) > 9 - 11 > 10 > 10,6 > 10","Hình thức đảm bảo > Giấy chứng nhận quyền sử dụng đất số AD079614, và tài sản trên đất tại phường 5,Thành phố Vũng TàuVăn phòng làm việc Công ty tại 265 Lê HồngPhong Phường 8, Thành phố Vũng Tàu > Giấy chứng nhận quyền sử dụng đất các lô đất tại khu du lịch sinh thái Đại Phước, Huyện Nhơn Trạch, Tỉnh Đồng Nai > Giấy chứng nhận quyền sử dụng đất số AD079616, Phường 5, Thành phố Vũng Tàu. > Máy móc thiết bị trị giá 6.785.675.000 VND > Giá trị tài sản đảm bảo 306.181.818 VND",numeric__Số cuối nămVND > 21.613.658.257 > 192.586.092.340 > 104.539.883.450 > 3.340.000.000 > 306.181.818,"numeric__Kỳ hạn thanh toán > Nợ gốc được trả từ ngày 3 tháng 4 năm2016 đến ngày 17 tháng 11 năm 2016Lãi vay được trả vào ngày 23 hàng tháng > Nợ gốc được trả từ ngày 31 tháng 3 năm 2016 đến ngày 30 tháng 9 năm2016. Lãi vay được trả vào ngày cuối mỗi quý > Thời gian ăn hạn gốc: 06 tháng kể từ ngày bên vay nhận tiến vay lần đầu tiên, tức ngày 21 tháng 6 năm 2013Nợ gốc được trả từ ngày 21 tháng 3 năm2016 đến ngày 21 tháng 6 năm 2016Lãi vay được trả hàng quý, kể từ ngày bên vay nhận tiến vay lần đầu > Thời gian trả gốc: 60 tháng kể từ ngày nhận nợ đầu tiếntức là ngày 15 tháng 8 năm 2019 > Thời gian trả gốc: 24 tháng kể từ ngày 16 tháng 12 năm 2015 tức là ngày 16 tháng 12 năm 2017","numeric__Lãi suất(%/năm) > 9 - 11 > 10 > 10,6 > 10","numeric__Hình thức đảm bảo > Giấy chứng nhận quyền sử dụng đất số AD079614, và tài sản trên đất tại phường 5,Thành phố Vũng TàuVăn phòng làm việc Công ty tại 265 Lê HồngPhong Phường 8, Thành phố Vũng Tàu > Giấy chứng nhận quyền sử dụng đất các lô đất tại khu du lịch sinh thái Đại Phước, Huyện Nhơn Trạch, Tỉnh Đồng Nai > Giấy chứng nhận quyền sử dụng đất số AD079616, Phường 5, Thành phố Vũng Tàu. > Máy móc thiết bị trị giá 6.785.675.000 VND > Giá trị tài sản đảm bảo 306.181.818 VND"
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,322.385.815.865,,,,322385815865.0,,,
Trong đó:Vay dài hạn đến hạn trảVay dài hạn,Trong đó:Vay dài hạn đến hạn trảVay dài hạn,Trong đó:Vay dài hạn đến hạn trảVay dài hạn,233.561.731.28188.824.084.584,,,,2.3356173128188826e+22,,,
