row_label_raw,row_label_full,Tên công ty liên kết,Lĩnh vực kinh doanh,Tình trạng hoạt động,Số cuối năm > Tỷ lệ sở hữu %,Số cuối năm > Giá trị VND,Số đầu năm > Tỷ lệ sở hữu %,Số đầu năm > Giá trị VND,numeric__Lĩnh vực kinh doanh,numeric__Tình trạng hoạt động,numeric__Số cuối năm > Tỷ lệ sở hữu %,numeric__Số cuối năm > Giá trị VND,numeric__Số đầu năm > Tỷ lệ sở hữu %,numeric__Số đầu năm > Giá trị VND
Công ty Cổ phần Vina Đại Phước (i),Công ty Cổ phần Vina Đại Phước (i),Công ty Cổ phần Vina Đại Phước (i),Bất động sản,Đang hoạt động,"28,00",444.426.358.257,"28,00",449.530.471.841,,,28.0,444426358257.0,28.0,449530471841.0
Công ty Cổ phần Đầu tư Phát triển Phương Nam,Công ty Cổ phần Đầu tư Phát triển Phương Nam,Công ty Cổ phần Đầu tư Phát triển Phương Nam,"Khách sạn, du lịch",Đang hoạt động,"43,00",189.750.537.261,"41,00",189.589.576.977,,,43.0,189750537261.0,41.0,189589576977.0
Công ty Cổ phần Đầu tư Việt Thiên Lâm (i),Công ty Cổ phần Đầu tư Việt Thiên Lâm (i),Công ty Cổ phần Đầu tư Việt Thiên Lâm (i),Bất động sản,Đang hoạt động,"22,00",83.647.541.017,"22,00",83647541017,,,22.0,83647541017.0,22.0,83647541017.0
Công ty Cổ phần Gạch men Anh em DIC,Công ty Cổ phần Gạch men Anh em DIC,Công ty Cổ phần Gạch men Anh em DIC,Sản xuất,Đang hoạt động,"40,83",14.951.982.461,"40,83",15.896.964.267,,,40.83,14951982461.0,40.83,15896964267.0
Công ty Cổ phần Đầu tư Phát triển Xây dựng Bê tông,Công ty Cổ phần Đầu tư Phát triển Xây dựng Bê tông,Công ty Cổ phần Đầu tư Phát triển Xây dựng Bê tông,Sản xuất vật liệu xây dựng,Đang hoạt động,"36,00",26.623.959.163,"36,00",26.277.787.824,,,36.0,26623959163.0,36.0,26277787824.0
Công ty Cổ phần Đầu tư Phát triển Xây dựng Du lịch Thể thao Vũng Tàu,Công ty Cổ phần Đầu tư Phát triển Xây dựng Du lịch Thể thao Vũng Tàu,Công ty Cổ phần Đầu tư Phát triển Xây dựng Du lịch Thể thao Vũng Tàu,Dịch vụ,Đang hoạt động,"23,92",16.187.356.846,"32,00",21.887.453.797,,,23.92,16187356846.0,32.0,21887453797.0
Công ty Cổ phần Đầu tư Phát triển Xây dựng (DIC) số 2,Công ty Cổ phần Đầu tư Phát triển Xây dựng (DIC) số 2,Công ty Cổ phần Đầu tư Phát triển Xây dựng (DIC) số 2,Xây lắp,Đang hoạt động,"41,67",11.527.263.446,"41,67",13.228.387.247,,,41.67,11527263446.0,41.67,13228387247.0
Công ty Cổ phần Đầu tư Phát triển Xây dựng Hội An,Công ty Cổ phần Đầu tư Phát triển Xây dựng Hội An,Công ty Cổ phần Đầu tư Phát triển Xây dựng Hội An,Xây lắp,Đang hoạt động,"29,97",15.900.988.370,"29,97",15.905.861.945,,,29.97,15900988370.0,29.97,15905861945.0
Công ty Cổ phần Bất động sản DIC,Công ty Cổ phần Bất động sản DIC,Công ty Cổ phần Bất động sản DIC,Bất động sản,Đang hoạt động,"42,67",6.057.024.696,"42,67",5.963.396.130,,,42.67,6057024696.0,42.67,5963396130.0
Công ty Trách nhiệm Hữu hạn Xi măng Fico Bình Dương,Công ty Trách nhiệm Hữu hạn Xi măng Fico Bình Dương,Công ty Trách nhiệm Hữu hạn Xi măng Fico Bình Dương,Sản xuất,Đang hoạt động,-,-,"28,00",7.778.491.219,,,,,28.0,7778491219.0
Công ty Cổ phần Cấu kiện Bê tông DIC Miền Đông,Công ty Cổ phần Cấu kiện Bê tông DIC Miền Đông,Công ty Cổ phần Cấu kiện Bê tông DIC Miền Đông,Sản xuất,Đang hoạt động,-,-,"33,57",4.625.474.689,,,,,33.57,4625474689.0
TỔNG CỔNG,TỔNG CỔNG,TỔNG CỔNG,,,,809.073.011.517,,834.331.406.953,,,,809073011517.0,,834331406953.0
