row_label_raw,row_label_full,Mã số,CHỈ TIÊU,Thuyết minh,Năm nay,Năm trước (Đã trình bày lại - Thuyết minh số 36),numeric__CHỈ TIÊU,numeric__Thuyết minh,numeric__Năm nay,numeric__Năm trước (Đã trình bày lại - Thuyết minh số 36)
01,01,01,1. Doanh thu bán hàng và cung cấp dịch vụ,26.1,692.022.624.428,699.506.554.879,,261.0,692022624428.0,699506554879.0
02,02,02,2. Các khoản giảm trừ doanh thu,26.1,36.797.377.674,8.476.033.717,,261.0,36797377674.0,8476033717.0
10,10,10,3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,26.1,655.225.246.754,691.030.521.162,,261.0,655225246754.0,691030521162.0
11,11,11,4. Giá vốn hàng bán và dịch vụ cung cấp,27,491.247.724.636,540.794.569.317,,27.0,491247724636.0,540794569317.0
20,20,20,5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,,163.977.522.118,150.235.951.845,,,163977522118.0,150235951845.0
21,21,21,6. Doanh thu hoạt động tài chính,26.2,62.680.671.166,25.550.140.989,,262.0,62680671166.0,25550140989.0
22,22,22,7. Chi phí tài chính Trong đó: Chi phí lãi vay,28,6.154.448.991 7.713.389.459,5.318.662.596 10.108.031.087,,28.0,,
23,23,23,7. Chi phí tài chính Trong đó: Chi phí lãi vay,28,6.154.448.991 7.713.389.459,5.318.662.596 10.108.031.087,,28.0,,
24,24,24,"8. Phần lỗ trong công ty liên doanh, liên kết",,(6.793.849.528),4.514.649.455,,,-6793849528.0,4514649455.0
25,25,25,9. Chi phí bán hàng,29,82.556.639.604,60.162.011.807,,29.0,82556639604.0,60162011807.0
26,26,26,10. Chi phí quản lý doanh nghiệp,29,86.351.753.703,53.354.310.755,,29.0,86351753703.0,53354310755.0
30,30,30,11. Lợi nhuận thuần từ hoạt động kinh doanh,,44.801.501.458,52.436.458.221,,,44801501458.0,52436458221.0
31,31,31,12. Thu nhập khác,30,12.111.842.205,25.532.265.036,,30.0,12111842205.0,25532265036.0
32,32,32,13. Chi phí khác,30,24.779.753.174,7.638.842.374,,30.0,24779753174.0,7638842374.0
40,40,40,14. (Lỗ) lợi nhuận khác,30,(12.667.910.969),17.893.422.662,,30.0,-12667910969.0,17893422662.0
50,50,50,15. Tổng lợi nhuận kế toán trước thuế,,32.133.590.489,70.329.880.883,,,32133590489.0,70329880883.0
51,51,51,16. Chi phí thuế TNDN hiện hành,32.2,10.382.318.919,13.233.052.369,,322.0,10382318919.0,13233052369.0
52,52,52,17. Chi phí thuế TNDN hoãn lại,32.3,7.941.252.168,4.419.987.054,,323.0,7941252168.0,4419987054.0
60,60,60,18. Lợi nhuận thuần sau thuế TNDN,,13.810.019.402,52.676.841.460,,,13810019402.0,52676841460.0
