row_label_raw,row_label_full,Các bên liên quan (Thuyết minh số 33),Các bên liên quan (Thuyết minh số 33)_1,Số cuối năm > 5.705.646.199,VND Số đầu năm > 8.949.763.576,numeric__Các bên liên quan (Thuyết minh số 33)_1,numeric__Số cuối năm > 5.705.646.199,numeric__VND Số đầu năm > 8.949.763.576
Các bên khác,Các bên khác,Các bên khác,Các bên khác,,,,,
-,Các bên khác > -,-,Công ty Trách nhiệm Hữu hạn Kỹ nghệ Toán Tâm (TTE.Co),8.814.375.000,28.154.200.000,,8814375000.0,28154200000.0
-,Các bên khác > -,-,Công ty Trách nhiệm Hữu hạn Xuân Vy,7.598.356.771,-,,7598356771.0,
-,Các bên khác > -,-,Khác,91.849.690.662,82.577.557.364,,91849690662.0,82577557364.0
TỔNG CỘNG,Các bên khác > TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,113.968.068.632,119.681.520.940,,113968068632.0,119681520940.0
