row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Nghiệp vụ,Phải thu (Phải trả),Phải thu (Phải trả)_1,numeric__Mối quan hệ,numeric__Nghiệp vụ,numeric__Phải thu (Phải trả),numeric__Phải thu (Phải trả)_1
Bên liên quan,Bên liên quan,Bên liên quan,Mối quan hệ,Nghiệp vụ,Số cuối năm,Số đầu năm,,,,
Phải trả người bản ngắn hạn,Phải trả người bản ngắn hạn,Phải trả người bản ngắn hạn,Phải trả người bản ngắn hạn,Phải trả người bản ngắn hạn,Phải trả người bản ngắn hạn,Phải trả người bản ngắn hạn,,,,
Công ty Cổ phần Đầu tư Phát triển Xây dựng (DIC) Số 2,Phải trả người bản ngắn hạn > Công ty Cổ phần Đầu tư Phát triển Xây dựng (DIC) Số 2,Công ty Cổ phần Đầu tư Phát triển Xây dựng (DIC) Số 2,Công ty liên kết,Chi phí xây dựng,(2.942.446.161),(3.474.837.237),,,-2942446161.0,-3474837237.0
Công ty Cổ phần Đầu tư Phát triển Xây dựng Thanh Bình,Phải trả người bản ngắn hạn > Công ty Cổ phần Đầu tư Phát triển Xây dựng Thanh Bình,Công ty Cổ phần Đầu tư Phát triển Xây dựng Thanh Bình,Bên liên quan,Chi phí xây dựng,(471.672.613),(5.254.926.339),,,-471672613.0,-5254926339.0
Công ty Cổ phần Bất động sản DIC,Phải trả người bản ngắn hạn > Công ty Cổ phần Bất động sản DIC,Công ty Cổ phần Bất động sản DIC,Công ty liên kết,Hoa hồng bán hàng,(2.291.527.425),-,,,-2291527425.0,
Công ty Cổ phần Đầu tư Phát triển Xây dựng Du lịch Thẻ thao Vũng Tàu,Phải trả người bản ngắn hạn > Công ty Cổ phần Đầu tư Phát triển Xây dựng Du lịch Thẻ thao Vũng Tàu,Công ty Cổ phần Đầu tư Phát triển Xây dựng Du lịch Thẻ thao Vũng Tàu,Công ty liên kết,Chi phí xây dựng,-,(220.000.000),,,,-220000000.0
,,,,,(5.705.646.199),(8.949.763.576),,,-5705646199.0,-8949763576.0
Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,,,,
Công ty Cổ phần Đầu tư Phát triển Xây dựng số 2,Người mua trả tiền trước ngắn hạn > Công ty Cổ phần Đầu tư Phát triển Xây dựng số 2,Công ty Cổ phần Đầu tư Phát triển Xây dựng số 2,Công ty liên kết,Chi phí xây dựng,(11.825.580.000),-,,,-11825580000.0,
Phải trả khác,Phải trả khác,Phải trả khác,Phải trả khác,Phải trả khác,Phải trả khác,Phải trả khác,,,,
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,,,
Công ty Cổ phần Bất động sản DIC,Ngắn hạn > Công ty Cổ phần Bất động sản DIC,Công ty Cổ phần Bất động sản DIC,Công ty liên kết,Góp vốn,(7.111.697.483),(1.354.382.985),,,-7111697483.0,-1354382985.0
Công ty Cổ phần Vina Đại phương,Ngắn hạn > Công ty Cổ phần Vina Đại phương,Công ty Cổ phần Vina Đại phương,Công ty liên kết,Chi hộ,(99.761.450),-,,,-99761450.0,
Công ty Cổ phần Đầu tư Phát triển xây dựng Thanh Bình,Ngắn hạn > Công ty Cổ phần Đầu tư Phát triển xây dựng Thanh Bình,Công ty Cổ phần Đầu tư Phát triển xây dựng Thanh Bình,Công ty liên kết,Góp vốn,(8.197.837.439),-,,,-8197837439.0,
Bộ Xây Dụng,Ngắn hạn > Bộ Xây Dụng,Bộ Xây Dụng,Bên liên quan,Cổ tức phải trả,-,(73.737.538.000),,,,-73737538000.0
Công ty Cổ phần DIC Số 4,Ngắn hạn > Công ty Cổ phần DIC Số 4,Công ty Cổ phần DIC Số 4,Bên liên quan,Góp vốn,-,(1.000.000.000),,,,-1000000000.0
,,,,,(15.409.296.372),(76.091.920.985),,,-15409296372.0,-76091920985.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,,,
Công ty Cổ phần Đầu tư Phát triển xây dựng Bê tông,Dài hạn > Công ty Cổ phần Đầu tư Phát triển xây dựng Bê tông,Công ty Cổ phần Đầu tư Phát triển xây dựng Bê tông,Công ty liên kết,Ký quỹ,(469.393.801),(817.302.076),,,-469393801.0,-817302076.0
,,,,,(15.878.690.173),(76.909.223.061),,,-15878690173.0,-76909223061.0
