row_label_raw,row_label_full,col_0,Số cuối năm > Số lượngcố phiếuVND,Số cuối năm > Giá trịvốn góp,Số đầu năm > Số lượngcố phiếuVND,Số đầu năm > Giá trịvốn góp,numeric__Số cuối năm > Số lượngcố phiếuVND,numeric__Số cuối năm > Giá trịvốn góp,numeric__Số đầu năm > Số lượngcố phiếuVND,numeric__Số đầu năm > Giá trịvốn góp
Vốn đầu tư củaNhà nước,Vốn đầu tư củaNhà nước,Vốn đầu tư củaNhà nước,1.095.002.420.000,109.500.242,1.013.891.130.000,101.389.113,1095002420000.0,109500242.0,1013891130000.0,101389113.0
Vốn góp cùacác cổ đôngkhác,Vốn góp cùacác cổ đôngkhác,Vốn góp cùacác cổ đôngkhác,1.050.335.510.000,105.033.551,773.545.070.000,77.354.507,1050335510000.0,105033551.0,773545070000.0,77354507.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,2.145.337.930.000,214.533.793,1.787.436.200.000,178.743.620,2145337930000.0,214533793.0,1787436200000.0,178743620.0
