row_label_raw,row_label_full,col_0,Bàng cân đối kế toán hợp nhất,Bàng cân đối kế toán hợp nhất_1,Báo cáo kết quả hoạt động kinh doanh hợp nhất,Báo cáo kết quả hoạt động kinh doanh hợp nhất_1,numeric__Bàng cân đối kế toán hợp nhất,numeric__Bàng cân đối kế toán hợp nhất_1,numeric__Báo cáo kết quả hoạt động kinh doanh hợp nhất,numeric__Báo cáo kết quả hoạt động kinh doanh hợp nhất_1
,,,Số cuối năm,Số đầu năm (Đã trình bày lại - Thuyết minh số 36),Năm nay,Năm trước (Đã trình bày lại - Thuyết minh số 36),,,,
Tài sản thuế thu nhập ho ăn lại,Tài sản thuế thu nhập ho ăn lại,Tài sản thuế thu nhập ho ăn lại,Tài sản thuế thu nhập ho ăn lại,Tài sản thuế thu nhập ho ăn lại,Tài sản thuế thu nhập ho ăn lại,Tài sản thuế thu nhập ho ăn lại,,,,
Lợi nhuận chưa thực hiện từ mua bán hàng tồn kho,Tài sản thuế thu nhập ho ăn lại > Lợi nhuận chưa thực hiện từ mua bán hàng tồn kho,Lợi nhuận chưa thực hiện từ mua bán hàng tồn kho,-,111.379.377,(111.379.377),(595.477.713),,111379377.0,-111379377.0,-595477713.0
Lợi nhuận chưa thực hiện từ mua bán tài sản nội bộ,Tài sản thuế thu nhập ho ăn lại > Lợi nhuận chưa thực hiện từ mua bán tài sản nội bộ,Lợi nhuận chưa thực hiện từ mua bán tài sản nội bộ,733.214.947,1.031.083.520,(297.868.573),(114.564.836),733214947.0,1031083520.0,-297868573.0,-114564836.0
Lợi nhuận chưa thực hiện khi góp vốn vào công ty liên kết,Tài sản thuế thu nhập ho ăn lại > Lợi nhuận chưa thực hiện khi góp vốn vào công ty liên kết,Lợi nhuận chưa thực hiện khi góp vốn vào công ty liên kết,20.863.152.914,26.078.941.142,(5.215.788.228),(2.905.779.581),20863152914.0,26078941142.0,-5215788228.0,-2905779581.0
,,,21.596.367.861,27.221.404.039,(5.625.036.178),(3.615.822.130),21596367861.0,27221404039.0,-5625036178.0,-3615822130.0
Thuế thu nhập ho ăn lại phải trả,Thuế thu nhập ho ăn lại phải trả,Thuế thu nhập ho ăn lại phải trả,Thuế thu nhập ho ăn lại phải trả,Thuế thu nhập ho ăn lại phải trả,Thuế thu nhập ho ăn lại phải trả,Thuế thu nhập ho ăn lại phải trả,,,,
Hoàn nhập dự phòng công ty con và công ty liên kết,Thuế thu nhập ho ăn lại phải trả > Hoàn nhập dự phòng công ty con và công ty liên kết,Hoàn nhập dự phòng công ty con và công ty liên kết,26.276.976.124,27.433.843.238,1.156.867.114,488.441.124,26276976124.0,27433843238.0,1156867114.0,488441124.0
Chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ,Thuế thu nhập ho ăn lại phải trả > Chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ,Chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ,15.870.325.215,12.397.242.111,(3.473.083.104),(1.292.606.048),15870325215.0,12397242111.0,-3473083104.0,-1292606048.0
,,,42.147.301.339,39.831.085.349,(2.316.215.990),(804.164.924),42147301339.0,39831085349.0,-2316215990.0,-804164924.0
Chi phí thuế thu nhập hoãn lại,Thuế thu nhập ho ăn lại phải trả > Chi phí thuế thu nhập hoãn lại,Chi phí thuế thu nhập hoãn lại,,,(7.941.252.168),(4.419.987.054),,,-7941252168.0,-4419987054.0
