row_label_raw,row_label_full,Các bên liên quan (Thuyết minh số 33),Số cuối năm > 1.443.081.087,VND Số đầu năm > 546.111.000,numeric__Số cuối năm > 1.443.081.087,numeric__VND Số đầu năm > 546.111.000
Các bên khác,Các bên khác,Các bên khác,Các bên khác,Các bên khác,,
- Công ty TNHH Phước An,Các bên khác > - Công ty TNHH Phước An,- Công ty TNHH Phước An,19.725.294.000,20.618.425.000,19725294000.0,20618425000.0
- Công ty Cổ phần Đầu tư Phát triển Xây dựng Phước An,Các bên khác > - Công ty Cổ phần Đầu tư Phát triển Xây dựng Phước An,- Công ty Cổ phần Đầu tư Phát triển Xây dựng Phước An,16.376.480.114,2.667.699.714,16376480114.0,2667699714.0
- Công ty Cổ phần Công trình Giao thông 68,Các bên khác > - Công ty Cổ phần Công trình Giao thông 68,- Công ty Cổ phần Công trình Giao thông 68,10.312.541.774,10.312.541.774,10312541774.0,10312541774.0
- Khác,Các bên khác > - Khác,- Khác,23.527.334.667,19.709.211.440,23527334667.0,19709211440.0
TỔNG CỔNG,Các bên khác > TỔNG CỔNG,TỔNG CỔNG,71.384.731.642,53.853.988.928,71384731642.0,53853988928.0
