row_label_raw,row_label_full,Mã số,NGUỒN VỐN,Thuyết minh,Số đầu năm,Số cuối năm (Đã trình bày lại - Thuyết minh số 36),numeric__NGUỒN VỐN,numeric__Thuyết minh,numeric__Số đầu năm,numeric__Số cuối năm (Đã trình bày lại - Thuyết minh số 36)
300,300,300,C. NỘ PHẢI TRẢ,,2.432.973.437.422,2.591.077.313.448,,,2432973437422.0,2591077313448.0
310,310,310,I. Nợ ngắn hạn,,995.785.492.325,1.068.789.714.318,,,995785492325.0,1068789714318.0
311,311,311,1. Phải trả người bán ngắn hạn,18,113.968.068.632,119.681.520.940,,18.0,113968068632.0,119681520940.0
312,312,312,2. Người mua trả tiền trước ngắn hạn,19,285.669.324.284,229.870.900.473,,19.0,285669324284.0,229870900473.0
313,313,313,3. Thuế và các khoản phải nộp Nhà nước,20,9.618.370.333,11.161.889.546,,20.0,9618370333.0,11161889546.0
314,314,314,4. Phải trả người lao động,,18.950.688.860,13.909.413.159,,,18950688860.0,13909413159.0
315,315,315,5. Chỉ phí phải trả ngắn hạn,21,78.137.169.251,98.439.076.114,,21.0,78137169251.0,98439076114.0
318,318,318,6. Doanh thu chưa thực hiện ngắn hạn,22,3.487.872.356,3.374.235.992,,22.0,3487872356.0,3374235992.0
319,319,319,7. Phải trả ngắn hạn khác,23,175.445.322.340,283.035.384.037,,23.0,175445322340.0,283035384037.0
320,320,320,8. Vay ngắn hạn,24,310.301.414.311,306.318.701.472,,24.0,310301414311.0,306318701472.0
321,321,321,9. Dự phòng phải trả ngắn hạn,,200.000.000,-,,,200000000.0,
322,322,322,"10. Quỹ khen thưởng, phúc lợi",,7.261.958,2.998.592.585,,,7261958.0,2998592585.0
330,330,330,II. Nợ dài hạn,,1.437.187.945.097,1.522.287.599.130,,,1437187945097.0,1522287599130.0
336,336,336,1. Doanh thu chưa thực hiện dài hạn,22,312.988.984.851,316.363.220.844,,22.0,312988984851.0,316363220844.0
337,337,337,2. Phải trả dài hạn khác,23,2.157.848.801,2.850.297.076,,23.0,2157848801.0,2850297076.0
338,338,338,3. Vay dài hạn,24,1.079.327.223.130,1.163.242.995.861,,24.0,1079327223130.0,1163242995861.0
341,341,341,4. Thuế thu nhập hoãn lại phải trả,32.3,42.147.301.339,39.831.085.349,,323.0,42147301339.0,39831085349.0
342,342,342,5. Dự phòng phải trả dài hạn,,566.586.976,-,,,566586976.0,
400,400,400,D. VỐN CHỦ SỞ HỮU,,2.656.336.447.264,2.440.467.780.624,,,2656336447264.0,2440467780624.0
410,410,410,I. Vốn chủ sở hữu,,2.656.336.447.264,2.440.467.780.624,,,2656336447264.0,2440467780624.0
411,411,411,1. Vốn cổ phần,25.1,2.145.337.930.000,1.787.436.200.000,,251.0,2145337930000.0,1787436200000.0
411a,411a,411a,- Cổ phiếu cổ đông có quyền biểu quyết,,2.145.337.930.000,1.787.436.200.000,,,2145337930000.0,1787436200000.0
412,412,412,2. Thặng dư vốn cổ phần,25.1,237.736.521.707,386.568.251.707,,251.0,237736521707.0,386568251707.0
418,418,418,3. Quỹ đầu tư phát triển,25.1,161.961.502.413,157.201.646.004,,251.0,161961502413.0,157201646004.0
421,421,421,4. Lợi nhuận sau thuế chưa phân phối,25.1,66.073.619.772,61.984.532.848,,251.0,66073619772.0,61984532848.0
421a,421a,421a,- Lợi nhuận sau thuế chưa phân phối lũy kế đến cuối năm trước,,55.612.798.813,12.993.152.222,,,55612798813.0,12993152222.0
421b,421b,421b,- Lợi nhuận sau thuế chưa phân phối năm nay,,10.460.820.959,48.991.380.626,,,10460820959.0,48991380626.0
429,429,429,5. Lợi ích cổ đông không kiểm soát,,45.226.873.372,47.277.150.065,,,45226873372.0,47277150065.0
440,440,440,TỔNG CỘNG NGUỒN VỐN,,5.089.309.884.686,5.031.545.094.072,,,5089309884686.0,5031545094072.0
