row_label_raw,row_label_full,Mã số,TÀI SẢN,Thuyết minh,Số cuối năm,Số cuối năm (Đã trình bày lại - Thuyết minh số 36),numeric__TÀI SẢN,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số cuối năm (Đã trình bày lại - Thuyết minh số 36)
200,200,200,B. TÀI SẢN DÀI HẠN,,1.878.291.152.766,1.817.324.018.770,,,1878291152766.0,1817324018770.0
210,210,210,I. Các khoản phải thu dài hạn,,318.139.707.171,349.951.834.328,,,318139707171.0,349951834328.0
211,211,211,1. Phải thu dài hạn của khách hàng,6,167.255.979.388,192.879.622.308,,6.0,167255979388.0,192879622308.0
215,215,215,2. Phải thu về cho vay dài hạn,8,62.140.745.782,62.766.265.554,,8.0,62140745782.0,62766265554.0
216,216,216,3. Phải thu dài hạn khác,9,88.742.982.001,94.305.946.466,,9.0,88742982001.0,94305946466.0
220,220,220,II. Tài sản cố định,,245.575.159.129,208.737.553.874,,,245575159129.0,208737553874.0
221,221,221,1. Tài sản cố định hữu hình,11,234.912.117.067,199.263.394.307,,11.0,234912117067.0,199263394307.0
222,222,222,Nguyên giá,,422.550.744.230,362.293.523.965,,,422550744230.0,362293523965.0
223,223,223,Giá trị khấu hao lũy kế,,(187.638.627.163),(163.030.129.658),,,-187638627163.0,-163030129658.0
227,227,227,2. Tài sản cố định vô hình,12,10.663.042.062,9.474.159.567,,12.0,10663042062.0,9474159567.0
228,228,228,Nguyên giá,,11.407.411.315,10.162.381.316,,,11407411315.0,10162381316.0
229,229,229,Giá trị hao mòn lũy kế,,(744.369.253),(688.221.749),,,-744369253.0,-688221749.0
230,230,230,III. Bất động sản đầu tư,13,123.991.256.565,126.880.373.221,,13.0,123991256565.0,126880373221.0
231,231,231,1. Nguyên giá,,144.455.832.878,144.455.832.878,,,144455832878.0,144455832878.0
232,232,232,2. Giá trị hao mòn lũy kế,,(20.464.576.313),(17.575.459.657),,,-20464576313.0,-17575459657.0
240,240,240,IV. Tài sản dở dang dài hạn,,77.975.958.041,70.284.146.865,,,77975958041.0,70284146865.0
242,242,242,1. Chi phí xây dựng cơ bản dở dang,15,77.975.958.041,70.284.146.865,,15.0,77975958041.0,70284146865.0
250,250,250,V. Đầu tư tài chính dài hạn,16,1.065.569.311.406,1.011.310.064.471,,16.0,1065569311406.0,1011310064471.0
252,252,252,"1. Đầu tư vào công ty liên doanh, liên kết",16.1,809.073.011.517,834.331.406.953,,161.0,809073011517.0,834331406953.0
253,253,253,2. Đầu tư góp vốn vào đơn vị khác,16.2,222.348.688.973,182.731.343.419,,162.0,222348688973.0,182731343419.0
254,254,254,3. Dự phòng đầu tư tài chính dài hạn,16,(7.852.389.084),(7.752.685.901),,16.0,-7852389084.0,-7752685901.0
255,255,255,4. Đầu tư nắm giữ đến ngày đáo hạn,16.3,42.000.000.000,2.000.000.000,,163.0,42000000000.0,2000000000.0
260,260,260,VI. Tài sản dài hạn khác,,47.039.760.454,50.160.046.011,,,47039760454.0,50160046011.0
261,261,261,1. Chi phí trả trước dài hạn,17,25.443.392.593,22.938.641.972,,17.0,25443392593.0,22938641972.0
262,262,262,2. Tài sản thuế thu nhập hoãn lại,32.3,21.596.367.861,27.221.404.039,,323.0,21596367861.0,27221404039.0
270,270,270,TỔNG CỘNG TÀI SẢN,,5.089.309.884.686,5.031.545.094.072,,,5089309884686.0,5031545094072.0
