row_label_raw,row_label_full,col_0,"Nhà xuǒng,vàt kiěn trúc","Máy móc,thiết bị",Phuong tiēnvận tải,Thiết bịvăn phóng,Khác,VNDTổng cộng,"numeric__Nhà xuǒng,vàt kiěn trúc","numeric__Máy móc,thiết bị",numeric__Phuong tiēnvận tải,numeric__Thiết bịvăn phóng,numeric__Khác,numeric__VNDTổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,197.627.627.260,112.274.363.972,31.528.444.165,8.800.360.259,12.062.728.309,362.293.523.965,197627627260.0,112274363972.0,31528444165.0,8800360259.0,12062728309.0,362293523965.0
Mua trong năm,Nguyên giá: > Mua trong năm,Mua trong năm,11.598.753.056,4.394.040.403,8.991.936.908,429.874.576,130.000.000,25.544.604.943,11598753056.0,4394040403.0,8991936908.0,429874576.0,130000000.0,25544604943.0
Tăng khác,Nguyên giá: > Tăng khác,Tăng khác,23.636.975.375,17.946.789.776,-,-,-,41.583.765.151,23636975375.0,17946789776.0,,,,41583765151.0
Thanh lý,Nguyên giá: > Thanh lý,Thanh lý,(869.122.103),(5.167.128.630),(779.324.096),(55.575.000),-,(6.871.149.829),-869122103.0,-5167128630.0,-779324096.0,-55575000.0,,-6871149829.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,231.994.233.588,129.448.065.521,39.741.056.977,9.174.659.835,12.192.728.309,422.550.744.230,231994233588.0,129448065521.0,39741056977.0,9174659835.0,12192728309.0,422550744230.0
Trong đó:Dã khấu hao hết,Nguyên giá: > Trong đó:Dã khấu hao hết,Trong đó:Dã khấu hao hết,422.984.819,34.080.000,3.456.041.143,1.314.750.088,271.318.182,5.499.174.232,422984819.0,34080000.0,3456041143.0,1314750088.0,271318182.0,5499174232.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,,,,
Số đầu năm,Giá trị khấu hao lũy kế: > Số đầu năm,Số đầu năm,(55.014.413.270),(74.766.349.706),(21.408.419.554),(7.694.856.137),(4.146.090.991),(163.030.129.658),-55014413270.0,-74766349706.0,-21408419554.0,-7694856137.0,-4146090991.0,-163030129658.0
Khẩu hao trong năm,Giá trị khấu hao lũy kế: > Khẩu hao trong năm,Khẩu hao trong năm,(10.270.871.282),(8.436.589.433),(2.464.773.194),(325.518.602),(461.108.402),(21.958.860.913),-10270871282.0,-8436589433.0,-2464773194.0,-325518602.0,-461108402.0,-21958860913.0
Tăng khác,Giá trị khấu hao lũy kế: > Tăng khác,Tăng khác,(2.658.206.117),(5.271.023.886),-,-,-,(7.929.230.003),-2658206117.0,-5271023886.0,,,,-7929230003.0
Thanh lý,Giá trị khấu hao lũy kế: > Thanh lý,Thanh lý,399.478.201,4.045.216.114,779.324.096,55.575.000,-,5.279.593.411,399478201.0,4045216114.0,779324096.0,55575000.0,,5279593411.0
Số cuối năm,Giá trị khấu hao lũy kế: > Số cuối năm,Số cuối năm,(67.544.012.468),(84.428.746.911),(23.093.868.652),(7.964.799.739),(4.607.199.393),(187.638.627.163),-67544012468.0,-84428746911.0,-23093868652.0,-7964799739.0,-4607199393.0,-187638627163.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,142.613.213.990,37.508.014.266,10.120.024.611,1.105.504.122,7.916.637.318,199.263.394.307,142613213990.0,37508014266.0,10120024611.0,1105504122.0,7916637318.0,199263394307.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,164.450.221.120,45.019.318.610,16.647.188.325,1.209.860.096,7.585.528.916,234.912.117.067,164450221120.0,45019318610.0,16647188325.0,1209860096.0,7585528916.0,234912117067.0
"Trong đó:Tài sản sử dụng để thế chấp(Thuyết minh số 24.1, 24.2)","Giá trị còn lại: > Trong đó:Tài sản sử dụng để thế chấp(Thuyết minh số 24.1, 24.2)","Trong đó:Tài sản sử dụng để thế chấp(Thuyết minh số 24.1, 24.2)",40.659.294.738,45.785.675.000,-,-,-,86.444.969.738,40659294738.0,45785675000.0,,,,86444969738.0
