row_label_raw,row_label_full,col_0,Quyền sử dụng đất,Phần mềm máy tính,Khác,VND Tổng cộng,numeric__Quyền sử dụng đất,numeric__Phần mềm máy tính,numeric__Khác,numeric__VND Tổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,9.789.329.500,141.321.000,231.730.816,10.162.381.316,9789329500.0,141321000.0,231730816.0,10162381316.0
Mua trong năm,Nguyên giá: > Mua trong năm,Mua trong năm,1.245.029.999,-,-,1.245.029.999,1245029999.0,,,1245029999.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,11.034.359.499,141.321.000,231.730.816,11.407.411.315,11034359499.0,141321000.0,231730816.0,11407411315.0
Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,,,,
Số đầu năm,Giá trị hao mòn lũy kế: > Số đầu năm,Số đầu năm,(479.312.594),(141.321.000),(67.588.155),(688.221.749),-479312594.0,-141321000.0,-67588155.0,-688221749.0
Hao mòn trong năm,Giá trị hao mòn lũy kế: > Hao mòn trong năm,Hao mòn trong năm,(44.560.964),-,(11.586.540),(56.147.504),-44560964.0,,-11586540.0,-56147504.0
Số cuối năm,Giá trị hao mòn lũy kế: > Số cuối năm,Số cuối năm,(523.873.558),(141.321.000),(79.174.495),(744.369.253),-523873558.0,-141321000.0,-79174495.0,-744369253.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,9.310.016.906,-,164.142.661,9.474.159.567,9310016906.0,,164142661.0,9474159567.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,10.510.485.941,-,152.556.121,10.663.042.062,10510485941.0,,152556121.0,10663042062.0
