row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Nghiệp vụ,Phải thu (Phải trả),Phải thu (Phải trả)_1,numeric__Mối quan hệ,numeric__Nghiệp vụ,numeric__Phải thu (Phải trả),numeric__Phải thu (Phải trả)_1
Công ty Cổ phần Đầu tư Phát triển Xây dựng (DIC) Số 2,Ngắn hạn > Công ty Cổ phần Đầu tư Phát triển Xây dựng (DIC) Số 2,Công ty Cổ phần Đầu tư Phát triển Xây dựng (DIC) Số 2,Công ty liên kết,Chi hộ,68.131.750,13.256.944,,,68131750.0,13256944.0
,,,,Lãi vay,375.612.157,-,,,375612157.0,
Công ty Cổ phần Đầu tư Phát triển Phương Nam,Ngắn hạn > Công ty Cổ phần Đầu tư Phát triển Phương Nam,Công ty Cổ phần Đầu tư Phát triển Phương Nam,Công ty liên kết,Lãi vay,122.435.398,101.671.509,,,122435398.0,101671509.0
Công ty Cổ phần Gạch men Anh em DIC,Ngắn hạn > Công ty Cổ phần Gạch men Anh em DIC,Công ty Cổ phần Gạch men Anh em DIC,Công ty liên kết,Lãi vay,5.563.706.114,4.296.345.004,,,5563706114.0,4296345004.0
Công ty Cổ phần Đầu tư Xây dựng ATA,Ngắn hạn > Công ty Cổ phần Đầu tư Xây dựng ATA,Công ty Cổ phần Đầu tư Xây dựng ATA,Bên liên quan,Lãi vay,28.785.962.513,20.596.518.359,,,28785962513.0,20596518359.0
Công ty Cổ phần Đầu tư Phát triển Xây dựng Thanh Bình,Ngắn hạn > Công ty Cổ phần Đầu tư Phát triển Xây dựng Thanh Bình,Công ty Cổ phần Đầu tư Phát triển Xây dựng Thanh Bình,Bên liên quan,Lãi vay,53.241.972,61.269.775,,,53241972.0,61269775.0
,,,,,35.875.498.262,25.375.524.563,,,35875498262.0,25375524563.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,,,
Công ty Cổ phần Đầu tư Xây dựng ATA,Dài hạn > Công ty Cổ phần Đầu tư Xây dựng ATA,Công ty Cổ phần Đầu tư Xây dựng ATA,Bên liên quan,Hợp đồng hợp tác kinh doanh,84.318.359.768,80.000.000.000,,,84318359768.0,80000000000.0
Công ty Cổ phần Đầu tư và Thương mại DIC,Dài hạn > Công ty Cổ phần Đầu tư và Thương mại DIC,Công ty Cổ phần Đầu tư và Thương mại DIC,Bên liên quan,Hợp đồng hợp tác kinh doanh,3.000.000.000,3.000.000.000,,,3000000000.0,3000000000.0
Công Ty Cổ phần Đầu tư phát triển Xây dựng Thanh Bình,Dài hạn > Công Ty Cổ phần Đầu tư phát triển Xây dựng Thanh Bình,Công Ty Cổ phần Đầu tư phát triển Xây dựng Thanh Bình,Bên liên quan,Hợp đồng hợp tác kinh doanh,-,10.384.087.514,,,,10384087514.0
,,,,,87.318.359.768,93.384.087.514,,,87318359768.0,93384087514.0
,,,,,123.193.858.030,118.759.612.077,,,123193858030.0,118759612077.0
