row_label_raw,row_label_full,Đối tác > Công ty Cổ phần Đầu tư Xây dựng ATA (Thuyết minh số 33),Nội dung > Phát triển dự án Khu dân cư Phú Mỹ,Phân chia lợi nhuận > 80%,Số cuối năm > 84.318.359.768,Số đầu năm > 80.000.000.000,numeric__Nội dung > Phát triển dự án Khu dân cư Phú Mỹ,numeric__Phân chia lợi nhuận > 80%,numeric__Số cuối năm > 84.318.359.768,numeric__Số đầu năm > 80.000.000.000
Công ty Cổ phần Đầu tư và Thương mại DIC,Công ty Cổ phần Đầu tư và Thương mại DIC,Công ty Cổ phần Đầu tư và Thương mại DIC,Phát triển Khu Công nghiệp Xuân Thới Thương,40%,3.000.000.000,3.000.000.000,,0.4,3000000000.0,3000000000.0
Công ty Cổ phần Đầu tư Xây dựng Phát triển Thanh Bình,Công ty Cổ phần Đầu tư Xây dựng Phát triển Thanh Bình,Công ty Cổ phần Đầu tư Xây dựng Phát triển Thanh Bình,Phát triển dự án Khu dân cư Hiệp Phước – Nhon Trạch,-,-,10.384.087.514,,,,10384087514.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,,87.318.359.768,93.384.087.514,,,87318359768.0,93384087514.0
