row_label_raw,row_label_full,col_0,Giá trị hợp lýtạm thời ghi nhậntại ngày hợp nhấtVND,numeric__Giá trị hợp lýtạm thời ghi nhậntại ngày hợp nhấtVND
Tài sản,Tài sản,Tài sản,Tài sản,
Tiền,Tài sản > Tiền,Tiền,260.491.979,260491979.0
Phải thu ngắn hạn của khách hàng và trả trước người bán ngắn hạn,Tài sản > Phải thu ngắn hạn của khách hàng và trả trước người bán ngắn hạn,Phải thu ngắn hạn của khách hàng và trả trước người bán ngắn hạn,234.879.570,234879570.0
Hàng tồn kho,Tài sản > Hàng tồn kho,Hàng tồn kho,1.440.846.565,1440846565.0
Tài sản ngắn hạn khác,Tài sản > Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,785.509.075,785509075.0
Tài sản cổ định hữu hình,Tài sản > Tài sản cổ định hữu hình,Tài sản cổ định hữu hình,31.991.228.813,31991228813.0
Chi phí xây dựng cơ bản dở dang,Tài sản > Chi phí xây dựng cơ bản dở dang,Chi phí xây dựng cơ bản dở dang,463.268.364,463268364.0
Tài sản dài hạn khác,Tài sản > Tài sản dài hạn khác,Tài sản dài hạn khác,10.536.363,10536363.0
,,,35.186.760.729,35186760729.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,
Vay,Nợ phải trả > Vay,Vay,13.986.364.088,13986364088.0
Phải trả người bán,Nợ phải trả > Phải trả người bán,Phải trả người bán,9.689.813.827,9689813827.0
Các khoản phải trả khác,Nợ phải trả > Các khoản phải trả khác,Các khoản phải trả khác,2.808.063.273,2808063273.0
,,,26.484.241.188,26484241188.0
Tổng tài sản thuần theo giá trị hợp lý tạm thời,Nợ phải trả > Tổng tài sản thuần theo giá trị hợp lý tạm thời,Tổng tài sản thuần theo giá trị hợp lý tạm thời,8.702.519.541,8702519541.0
"Lợi ích của Công ty mẹ (91,05%)","Nợ phải trả > Lợi ích của Công ty mẹ (91,05%)","Lợi ích của Công ty mẹ (91,05%)",7.924.017.007,7924017007.0
Lợi thế thương mại phát sinh từ việc hợp nhất (Thuyết minh số 18),Nợ phải trả > Lợi thế thương mại phát sinh từ việc hợp nhất (Thuyết minh số 18),Lợi thế thương mại phát sinh từ việc hợp nhất (Thuyết minh số 18),(292.462.318),-292462318.0
Tổng chi phí hợp nhất,Nợ phải trả > Tổng chi phí hợp nhất,Tổng chi phí hợp nhất,7.631.554.689,7631554689.0
