row_label_raw,row_label_full,col_0,Quyền sử dụng đất,Phần mềm máy vi tính,Ngàn VND Tổng cộng,numeric__Quyền sử dụng đất,numeric__Phần mềm máy vi tính,numeric__Ngàn VND Tổng cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Số đầu năm và số cuối năm,Nguyên giá > Số đầu năm và số cuối năm,Số đầu năm và số cuối năm,25.278.179,15.171.973,40.450.152,25278179.0,15171973.0,40450152.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,
Số đầu năm,Giá trị hao mòn lũy kế > Số đầu năm,Số đầu năm,-,(12.607.832),(12.607.832),,-12607832.0,-12607832.0
Hao mòn trong năm,Giá trị hao mòn lũy kế > Hao mòn trong năm,Hao mòn trong năm,-,(1.282.070),(1.282.070),,-1282070.0,-1282070.0
Số cuối năm,Giá trị hao mòn lũy kế > Số cuối năm,Số cuối năm,-,(13.889.902),(13.889.902),,-13889902.0,-13889902.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Số đầu năm,Giá trị còn lại > Số đầu năm,Số đầu năm,25.278.179,2.564.141,27.842.320,25278179.0,2564141.0,27842320.0
Số cuối năm,Giá trị còn lại > Số cuối năm,Số cuối năm,25.278.179,1.282.071,26.560.250,25278179.0,1282071.0,26560250.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,
Thế chấp để đảm bảo các khoản vay của Công ty (TM số 21.1),Trong đó: > Thế chấp để đảm bảo các khoản vay của Công ty (TM số 21.1),Thế chấp để đảm bảo các khoản vay của Công ty (TM số 21.1),25.278.179,-,25.278.179,25278179.0,,25278179.0
