row_label_raw,row_label_full,col_0,Bảng cân đối kế toán tổng hợp,Bảng cân đối kế toán tổng hợp_1,Ngàn VNDBáo cáo kết quả hoạt động kinh doanh tổng hợp,Ngàn VNDBáo cáo kết quả hoạt động kinh doanh tổng hợp_1,numeric__Bảng cân đối kế toán tổng hợp,numeric__Bảng cân đối kế toán tổng hợp_1,numeric__Ngàn VNDBáo cáo kết quả hoạt động kinh doanh tổng hợp,numeric__Ngàn VNDBáo cáo kết quả hoạt động kinh doanh tổng hợp_1
,,,Số cuối năm,Số đầu năm,Năm nay,Năm trước,,,,
Dự phòng nợ phải thu khó đòiLãi chênh lệch tỷ giá hối đoái từ đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ,Dự phòng nợ phải thu khó đòiLãi chênh lệch tỷ giá hối đoái từ đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ,Dự phòng nợ phải thu khó đòiLãi chênh lệch tỷ giá hối đoái từ đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ,473.444(449.383),503.625(826.564),(30.181)377.181,(765.558)(17.163),,,,
Tải sản thuế thu nhập hoãn lại (Thuế thu nhập hoãn lại phải trả) thuần,Dự phòng nợ phải thu khó đòiLãi chênh lệch tỷ giá hối đoái từ đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ > Tải sản thuế thu nhập hoãn lại (Thuế thu nhập hoãn lại phải trả) thuần,Tải sản thuế thu nhập hoãn lại (Thuế thu nhập hoãn lại phải trả) thuần,24.061,(322.939),,,24061.0,-322939.0,,
Thu nhập/(chi phí) thuế TNDN hoãn lại,Dự phòng nợ phải thu khó đòiLãi chênh lệch tỷ giá hối đoái từ đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ > Thu nhập/(chi phí) thuế TNDN hoãn lại,Thu nhập/(chi phí) thuế TNDN hoãn lại,Thu nhập/(chi phí) thuế TNDN hoãn lại,Thu nhập/(chi phí) thuế TNDN hoãn lại,347.000,(782.721),,,347000.0,-782721.0
