row_label_raw,row_label_full,col_0,Số cuối năm,Ngân VND Số đầu năm,numeric__Số cuối năm,numeric__Ngân VND Số đầu năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,
"Phải trả về hợp tác kinh doanh (""HĐHTKD"") (i)","Ngắn hạn > Phải trả về hợp tác kinh doanh (""HĐHTKD"") (i)","Phải trả về hợp tác kinh doanh (""HĐHTKD"") (i)",104.112.630,36.000.000,104112630.0,36000000.0
Phải trả tiền mượn từ các cá nhân vàcác công ty (ii),Ngắn hạn > Phải trả tiền mượn từ các cá nhân vàcác công ty (ii),Phải trả tiền mượn từ các cá nhân vàcác công ty (ii),99.199.471,80.347.526,99199471.0,80347526.0
Phải trả do thu hộ,Ngắn hạn > Phải trả do thu hộ,Phải trả do thu hộ,43.409.187,49.757.784,43409187.0,49757784.0
Chỉ phí lãi HĐHTKD (iii),Ngắn hạn > Chỉ phí lãi HĐHTKD (iii),Chỉ phí lãi HĐHTKD (iii),-,17.989.667,,17989667.0
Khác,Ngắn hạn > Khác,Khác,3.669.411,4.210.121,3669411.0,4210121.0
,,,250.390.699,188.305.098,250390699.0,188305098.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,
Phải trả do thu hộ,Dài hạn > Phải trả do thu hộ,Phải trả do thu hộ,7.666.626,7.666.626,7666626.0,7666626.0
Phải trả về HĐHTKD (i),Dài hạn > Phải trả về HĐHTKD (i),Phải trả về HĐHTKD (i),-,285.000.000,,285000000.0
,,,7.666.626,292.666.626,7666626.0,292666626.0
TỔNG CỘNG,Dài hạn > TỔNG CỘNG,TỔNG CỘNG,258.057.325,480.971.724,258057325.0,480971724.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Phải trả ngắn hạn các bên liên quan (TM số 29),Trong đó: > Phải trả ngắn hạn các bên liên quan (TM số 29),Phải trả ngắn hạn các bên liên quan (TM số 29),141.701.244,123.209.705,141701244.0,123209705.0
Phải trả dài hạn các bên liên quan (TM số 29),Trong đó: > Phải trả dài hạn các bên liên quan (TM số 29),Phải trả dài hạn các bên liên quan (TM số 29),-,285.000.000,,285000000.0
Phải trả các bên thứ ba,Trong đó: > Phải trả các bên thứ ba,Phải trả các bên thứ ba,116.356.081,72.762.019,116356081.0,72762019.0
