row_label_raw,row_label_full,Tổ chức thu xếp phát hành > HDBS > ACBS,Trái chủ > HD Bank - Chi nhánhSở giao dịch Đồng Nai (*) > Công ty TNHH Dịch vụ Nông nghiệp Tây Nguyên (**),Số cuối nămNgàn VND > 930.000.000 > 300.000.000,"Lãi suất%/năm > Lãi suất điều chỉnh ba (3) tháng một lần và bằng chi phí vốn VND mười hai (12) tháng của HD Bank cộng với biên độ 3,50 (2020: 12,57) > Lãi suất tiền gửi kỳ hạn mười ba (13) tháng của Ngân hàng Thương mại Cổ phần Tiên Phong cộng với biên độ 4,50 (2020: 10,00)",Ngàyđảo hạn > Từ ngày 30 tháng 6 năm 2021 đến ngày 31 tháng 12 năm 2023 > Ngày 18 tháng 6 năm 2023,Mục đích > Bổ sung vốn cho các dự án đầu tư và tái cấu trúc nợ vay của Tập đoàn,Tài sản thế chấp > 172.070.455 cổ phiếu HNG thuộc sở hữu của Công ty. > 40.000.000 cổ phiếu HNG thuộc sở hữu của Công ty.,numeric__Trái chủ > HD Bank - Chi nhánhSở giao dịch Đồng Nai (*) > Công ty TNHH Dịch vụ Nông nghiệp Tây Nguyên (**),numeric__Số cuối nămNgàn VND > 930.000.000 > 300.000.000,"numeric__Lãi suất%/năm > Lãi suất điều chỉnh ba (3) tháng một lần và bằng chi phí vốn VND mười hai (12) tháng của HD Bank cộng với biên độ 3,50 (2020: 12,57) > Lãi suất tiền gửi kỳ hạn mười ba (13) tháng của Ngân hàng Thương mại Cổ phần Tiên Phong cộng với biên độ 4,50 (2020: 10,00)",numeric__Ngàyđảo hạn > Từ ngày 30 tháng 6 năm 2021 đến ngày 31 tháng 12 năm 2023 > Ngày 18 tháng 6 năm 2023,numeric__Mục đích > Bổ sung vốn cho các dự án đầu tư và tái cấu trúc nợ vay của Tập đoàn,numeric__Tài sản thế chấp > 172.070.455 cổ phiếu HNG thuộc sở hữu của Công ty. > 40.000.000 cổ phiếu HNG thuộc sở hữu của Công ty.
Chi phí phát hành trái phiếu,Chi phí phát hành trái phiếu,Chi phí phát hành trái phiếu,Chi phí phát hành trái phiếu,(5.787.788),,,,,,-5787788.0,,,,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,1.224.212.212,,,,,,1224212212.0,,,,
Trong đó:Trái phiếu dài hạnTrái phiếu dài hạnđến hạn trả,Trong đó:Trái phiếu dài hạnTrái phiếu dài hạnđến hạn trả,Trong đó:Trái phiếu dài hạnTrái phiếu dài hạnđến hạn trả,Trong đó:Trái phiếu dài hạnTrái phiếu dài hạnđến hạn trả,915.984.156308.228.056,,,,,,9.159841563082281e+17,,,,
