row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc",Máy mócthiết bị,"Phương tiệnvận tải,truyền dẫn",Thiết bịvăn phòng,Vườn câylâu năm,Tài sânkhác,Ngàn VNDTổng cộng,"numeric__Nhà cửa,vật kiến trúc",numeric__Máy mócthiết bị,"numeric__Phương tiệnvận tải,truyền dẫn",numeric__Thiết bịvăn phòng,numeric__Vườn câylâu năm,numeric__Tài sânkhác,numeric__Ngàn VNDTổng cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,,
Số đầu năm,Nguyên giá > Số đầu năm,Số đầu năm,227.116.932,19.211.624,34.119.845,3.063.542,6.689.440,108.060,290.309.443,227116932.0,19211624.0,34119845.0,3063542.0,6689440.0,108060.0,290309443.0
Mua mới trong năm,Nguyên giá > Mua mới trong năm,Mua mới trong năm,562.256,145.641,448.335,114.209,-,-,1.270.441,562256.0,145641.0,448335.0,114209.0,,,1270441.0
Xoá số trong năm,Nguyên giá > Xoá số trong năm,Xoá số trong năm,-,-,(2.142.940),-,-,-,(2.142.940),,,-2142940.0,,,,-2142940.0
Số cuối năm,Nguyên giá > Số cuối năm,Số cuối năm,227.679.188,19.357.265,32.425.240,3.177.751,6.689.440,108.060,289.436.944,227679188.0,19357265.0,32425240.0,3177751.0,6689440.0,108060.0,289436944.0
Trong đó:Đã khấu hao hết,Nguyên giá > Trong đó:Đã khấu hao hết,Trong đó:Đã khấu hao hết,667.415,7.653.038,13.576.949,2.411.166,6.689.440,108.060,31.106.068,667415.0,7653038.0,13576949.0,2411166.0,6689440.0,108060.0,31106068.0
Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,,,,,,,
Số đầu năm,Giá trị khấu hao lũy kế > Số đầu năm,Số đầu năm,(67.983.116),(16.938.310),(26.366.546),(2.923.119),(6.689.440),(94.553),(120.995.084),-67983116.0,-16938310.0,-26366546.0,-2923119.0,-6689440.0,-94553.0,-120995084.0
Khấu hao trong năm,Giá trị khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,(6.920.356),(1.216.225),(1.988.680),(73.643),-,(13.507),(10.212.411),-6920356.0,-1216225.0,-1988680.0,-73643.0,,-13507.0,-10212411.0
Xoá số trong năm,Giá trị khấu hao lũy kế > Xoá số trong năm,Xoá số trong năm,-,-,2.142.940,-,-,-,2.142.940,,,2142940.0,,,,2142940.0
Số cuối năm,Giá trị khấu hao lũy kế > Số cuối năm,Số cuối năm,(74.903.472),(18.154.535),(26.212.286),(2.996.762),(6.689.440),(108.060),(129.064.555),-74903472.0,-18154535.0,-26212286.0,-2996762.0,-6689440.0,-108060.0,-129064555.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,,
Số đầu năm,Giá trị còn lại > Số đầu năm,Số đầu năm,159.133.816,2.273.314,7.753.299,140.423,-,13.507,169.314.359,159133816.0,2273314.0,7753299.0,140423.0,,13507.0,169314359.0
Số cuối năm,Giá trị còn lại > Số cuối năm,Số cuối năm,152.775.716,1.202.730,6.212.954,180.989,-,-,160.372.389,152775716.0,1202730.0,6212954.0,180989.0,,,160372389.0
Trong đó:Theếp để đảm bảo cho các khoản vay của Công ty(TM số 21.1),Giá trị còn lại > Trong đó:Theếp để đảm bảo cho các khoản vay của Công ty(TM số 21.1),Trong đó:Theếp để đảm bảo cho các khoản vay của Công ty(TM số 21.1),104.501.006,-,6.139.725,-,-,-,110.640.731,104501006.0,,6139725.0,,,,110640731.0
