row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Giao dịch,Số cuối năm,Ngàn VND Số đầu năm,numeric__Mối quan hệ,numeric__Giao dịch,numeric__Số cuối năm,numeric__Ngàn VND Số đầu năm
Phải thu ngắn hạn khác (TM số 9),Phải thu ngắn hạn khác (TM số 9),Phải thu ngắn hạn khác (TM số 9),Phải thu ngắn hạn khác (TM số 9),Phải thu ngắn hạn khác (TM số 9),Phải thu ngắn hạn khác (TM số 9),Phải thu ngắn hạn khác (TM số 9),,,,
Công ty TNHH MTV Phát triển Nông nghiệp Đại Thắng,Công ty TNHH MTV Phát triển Nông nghiệp Đại Thắng,Công ty TNHH MTV Phát triển Nông nghiệp Đại Thắng,Công ty con,Chi trả hộ Lãi cho vay,534.708.112 15.147.635,535.273.729 -,,,,
Công ty Cổ phần Lê Me,Công ty TNHH MTV Phát triển Nông nghiệp Đại Thắng > Công ty Cổ phần Lê Me,Công ty Cổ phần Lê Me,Công ty liên quan,Lãi cho vay,112.367.032,10.355.825,,,112367032.0,10355825.0
Ông Đoàn Nguyên Đức,Ông Đoàn Nguyên Đức,Ông Đoàn Nguyên Đức,Chữ tịch HĐQT,Cho mượn Khác,65.490.397 26.121,65.612.443 23.261,,,,
Công ty Cổ phần Chăn nuôi Gia Lai,Công ty Cổ phần Chăn nuôi Gia Lai,Công ty Cổ phần Chăn nuôi Gia Lai,Công ty con (từ ngày 10 tháng 9 năm 2020),Chi trả hộ Lãi cho vay,56.879.963 -,10.576.290 19.711.031,,,,
Công ty Cổ phần Gỗ Hoàng Anh Gia Lai,Công ty Cổ phần Gỗ Hoàng Anh Gia Lai,Công ty Cổ phần Gỗ Hoàng Anh Gia Lai,Bên liên quan,Lãi cho vay Chi trả hộ,22.873.208 -,12.780.538 2.192.000,,,,
Công ty TNHH Phát triển Nông nghiệp Hoàng Anh Attapeu,Công ty Cổ phần Gỗ Hoàng Anh Gia Lai > Công ty TNHH Phát triển Nông nghiệp Hoàng Anh Attapeu,Công ty TNHH Phát triển Nông nghiệp Hoàng Anh Attapeu,Công ty con,Chi trả hộ,-,107.926.999,,,,107926999.0
Công ty Cổ phần Thể thao Hoàng Anh Gia Lai,Công ty Cổ phần Thể thao Hoàng Anh Gia Lai,Công ty Cổ phần Thể thao Hoàng Anh Gia Lai,Công ty con,Lãi cho vay Chi trả hộ,-,99.469.183 5.151.875,,,,
Công ty Cổ phần Nông nghiệp Quốc tế Hoàng Anh Gia Lai,Công ty Cổ phần Thể thao Hoàng Anh Gia Lai > Công ty Cổ phần Nông nghiệp Quốc tế Hoàng Anh Gia Lai,Công ty Cổ phần Nông nghiệp Quốc tế Hoàng Anh Gia Lai,Công ty con,Lãi cho vay,-,27.165.722,,,,27165722.0
Công ty Cổ phần Cao su Hoàng Anh - Quang Minh,Công ty Cổ phần Thể thao Hoàng Anh Gia Lai > Công ty Cổ phần Cao su Hoàng Anh - Quang Minh,Công ty Cổ phần Cao su Hoàng Anh - Quang Minh,Công ty con,Lãi cho vay,-,16.049.756,,,,16049756.0
Các bên khác,Công ty Cổ phần Thể thao Hoàng Anh Gia Lai > Các bên khác,Các bên khác,Bên liên quan,Khác,1.690.329,1.882.532,,,1690329.0,1882532.0
,,,,,809.182.797,914.171.184,,,809182797.0,914171184.0
