row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Giao dịch,Số cuối năm,Ngàn VND Số đầu năm,numeric__Mối quan hệ,numeric__Giao dịch,numeric__Số cuối năm,numeric__Ngàn VND Số đầu năm
Phải thu về cho vay dài hạn (TM số 8) (*),Phải thu về cho vay dài hạn (TM số 8) (*),Phải thu về cho vay dài hạn (TM số 8) (*),Phải thu về cho vay dài hạn (TM số 8) (*),Phải thu về cho vay dài hạn (TM số 8) (*),Phải thu về cho vay dài hạn (TM số 8) (*),Phải thu về cho vay dài hạn (TM số 8) (*),,,,
Công ty Cổ phần Nông nghiệp Quốc tế Hoàng Anh Gia Lai,Phải thu về cho vay dài hạn (TM số 8) (*) > Công ty Cổ phần Nông nghiệp Quốc tế Hoàng Anh Gia Lai,Công ty Cổ phần Nông nghiệp Quốc tế Hoàng Anh Gia Lai,Công ty con,Cho vay,1.301.191.816,-,,,1301191816.0,
Công ty Cổ phần Lê Me,Phải thu về cho vay dài hạn (TM số 8) (*) > Công ty Cổ phần Lê Me,Công ty Cổ phần Lê Me,Công ty liên quan,Cho vay,726.305.996,3.216.487.778,,,726305996.0,3216487778.0
Công ty TNHH Hưng Thắng Lợi Gia Lai,Phải thu về cho vay dài hạn (TM số 8) (*) > Công ty TNHH Hưng Thắng Lợi Gia Lai,Công ty TNHH Hưng Thắng Lợi Gia Lai,Công ty con,Cho vay,198.827.184,358.538.725,,,198827184.0,358538725.0
Công ty Cổ phần Chăn nuôi Gia Lai,Phải thu về cho vay dài hạn (TM số 8) (*) > Công ty Cổ phần Chăn nuôi Gia Lai,Công ty Cổ phần Chăn nuôi Gia Lai,Công ty con (từ ngày 10 tháng 9 năm 2020),Cho vay,124.182.000,4.127.769.426,,,124182000.0,4127769426.0
Công ty TNHH Phát triển Nông nghiệp Hoàng Anh Attapeu,Phải thu về cho vay dài hạn (TM số 8) (*) > Công ty TNHH Phát triển Nông nghiệp Hoàng Anh Attapeu,Công ty TNHH Phát triển Nông nghiệp Hoàng Anh Attapeu,Công ty con,Cho vay,107.459.985,-,,,107459985.0,
Công ty Cổ phần Gỗ Hoàng Anh Gia Lai,Phải thu về cho vay dài hạn (TM số 8) (*) > Công ty Cổ phần Gỗ Hoàng Anh Gia Lai,Công ty Cổ phần Gỗ Hoàng Anh Gia Lai,Công ty liên quan,Cho vay,100.000.000,100.000.000,,,100000000.0,100000000.0
Công ty Cổ phần Cao su Hoàng Anh - Quang Minh,Phải thu về cho vay dài hạn (TM số 8) (*) > Công ty Cổ phần Cao su Hoàng Anh - Quang Minh,Công ty Cổ phần Cao su Hoàng Anh - Quang Minh,Công ty con,Cho vay,15.980.307,649.106.397,,,15980307.0,649106397.0
Công ty Cổ phần Thế thao Hoàng Anh Gia Lai,Phải thu về cho vay dài hạn (TM số 8) (*) > Công ty Cổ phần Thế thao Hoàng Anh Gia Lai,Công ty Cổ phần Thế thao Hoàng Anh Gia Lai,Công ty con,Cho vay,-,275.765.936,,,,275765936.0
Công ty TNHH MTV Phát triển Nông nghiệp Đại Thắng,Phải thu về cho vay dài hạn (TM số 8) (*) > Công ty TNHH MTV Phát triển Nông nghiệp Đại Thắng,Công ty TNHH MTV Phát triển Nông nghiệp Đại Thắng,Công ty con,Cho vay,-,49.900.701,,,,49900701.0
,,,,,2.573.947.288,8.777.568.963,,,2573947288.0,8777568963.0
