row_label_raw,row_label_full,Mã số,CHỈ TIÊU,Thuyết minh,Năm nay,Năm trước (Trình bày lại - Thuyết minh số 31),numeric__CHỈ TIÊU,numeric__Thuyết minh,numeric__Năm nay,numeric__Năm trước (Trình bày lại - Thuyết minh số 31)
01,01,01,1. Doanh thu bán hàng và cung cấp dịch vụ,23.1,376.925.022,100.734.787,,231.0,376925022.0,100734787.0
02,02,02,2. Các khoản giảm trừ doanh thu,23.1,(13.318.930),-,,231.0,-13318930.0,
10,10,10,3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,23.1,363.606.092,100.734.787,,231.0,363606092.0,100734787.0
11,11,11,4. Giá vốn hàng bán và dịch vụ cung cấp,24,(334.486.271),(93.104.304),,24.0,-334486271.0,-93104304.0
20,20,20,5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,,29.119.821,7.630.483,,,29119821.0,7630483.0
21,21,21,6. Doanh thu hoạt động tài chính,23.2,867.189.161,1.773.261.043,,232.0,867189161.0,1773261043.0
22,22,22,7. Chi phí tài chính Trong đó: Chi phí lãi vay,25,(796.423.607) (759.605.140),(2.075.009.756) (914.705.236),,25.0,,
23,23,23,7. Chi phí tài chính Trong đó: Chi phí lãi vay,25,(796.423.607) (759.605.140),(2.075.009.756) (914.705.236),,25.0,,
25,25,25,8. Chi phí bán hàng,26,(33.525.809),(4.564.764),,26.0,-33525809.0,-4564764.0
26,26,26,9. Chi phí quản lý doanh nghiệp,26,(1.049.008.242),(631.919.414),,26.0,-1049008242.0,-631919414.0
30,30,30,10. Lỗ thuần từ hoạt động kinh doanh,,(982.648.676),(930.602.408),,,-982648676.0,-930602408.0
31,31,31,11. Thu nhập khác,27,1.974.266,3.215.928,,27.0,1974266.0,3215928.0
32,32,32,12. (Chi phí)/hoàn nhập chi phí khác,27,(48.104.109),73.877.268,,27.0,-48104109.0,73877268.0
40,40,40,13. (Lỗ)/lợi nhuận khác,27,(46.129.843),77.093.196,,27.0,-46129843.0,77093196.0
50,50,50,14. Tổng lỗ kế toán trước thuế,,(1.028.778.519),(853.509.212),,,-1028778519.0,-853509212.0
51,51,51,15. Chi phí thuế TNDN hiện hành,28.1,-,-,,281.0,,
52,52,52,16. Thu nhập/(chi phí) thuế TNDN hoãn lại,28.2,347.000,(782.721),,282.0,347000.0,-782721.0
60,60,60,17. Lỗ sau thuế TNDN,,(1.028.431.519),(854.291.933),,,-1028431519.0,-854291933.0
