row_label_raw,row_label_full,Dự phòng phải thu ngăn hạn,Dự phòng phải thu ngăn hạn_1,Dự phòng phải thu ngăn hạn_2,Dự phòng phải thu ngăn hạn_3,numeric__Dự phòng phải thu ngăn hạn_1,numeric__Dự phòng phải thu ngăn hạn_2,numeric__Dự phòng phải thu ngăn hạn_3
khó đời,khó đời,khó đời,(157.805.811),(1.983.166.900),(2.140.972.711),-157805811.0,-1983166900.0,-2140972711.0
Dự phòng phải thu dài hạn,Dự phòng phải thu dài hạn,Dự phòng phải thu dài hạn,Dự phòng phải thu dài hạn,Dự phòng phải thu dài hạn,Dự phòng phải thu dài hạn,,,
khó đời,Dự phòng phải thu dài hạn > khó đời,khó đời,(276.880.796),(2.929.459.227),(3.206.340.023),-276880796.0,-2929459227.0,-3206340023.0
Lỗ lũy kế,Dự phòng phải thu dài hạn > Lỗ lũy kế,Lỗ lũy kế,(737.210.940),(4.912.626.129),(5.649.837.069),-737210940.0,-4912626129.0,-5649837069.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,
- Lỗ lũy kế đến cuối năm trước,Trong đó: > - Lỗ lũy kế đến cuối năm trước,- Lỗ lũy kế đến cuối năm trước,(23.715.240),(4.771.829.896),(4.795.545.136),-23715240.0,-4771829896.0,-4795545136.0
- Lỗ năm nay,Trong đó: > - Lỗ năm nay,- Lỗ năm nay,(713.495.700),(140.796.233),(854.291.933),-713495700.0,-140796233.0,-854291933.0
,,,Năm nay (đã được trình bày trước đây),Điều chỉnh,Năm nay (trình bày lại),,,
