row_label_raw,row_label_full,Số đầu năm > Cộng: Dự phòng lập trong năm > Trừ: Hoàn nhập dự phòng trong năm,Năm nay > 24.654.386 > - > (288.979),Ngàn VNDNăm trước(Trình bày lại -Thuyết minh số 31) > 12.232.129 > 16.550.050 > (4.127.793),numeric__Năm nay > 24.654.386 > - > (288.979),numeric__Ngàn VNDNăm trước(Trình bày lại -Thuyết minh số 31) > 12.232.129 > 16.550.050 > (4.127.793)
Trừ: Giảm do mua công ty con,Trừ: Giảm do mua công ty con,Trừ: Giảm do mua công ty con,(15.785.553),-,-15785553.0,
Số cuối năm,Số cuối năm,Số cuối năm,8.579.854,24.654.386,8579854.0,24654386.0
