row_label_raw,row_label_full,Mã số,CHỈ TIÊU,Thuyết minh,Năm nay,Năm trước (Trình bày lại - Thuyết minh số 31),numeric__CHỈ TIÊU,numeric__Thuyết minh,numeric__Năm nay,numeric__Năm trước (Trình bày lại - Thuyết minh số 31)
,,,I. LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,,,,,,,
01,01,01,Lỗ kế toán trước thuế Điều chỉnh cho các khoản:,,(1.028.778.519),(853.509.212),,,-1028778519.0,-853509212.0
02,02,02,Khấu hao và hao mòn tài sản cố định (“TSCĐ”) và bất động sản đầu tư,"11, 12, 13",14.125.334,14.537.673,,,14125334.0,14537673.0
03,03,03,Dự phòng (hoàn nhập dự phòng),,1.038.514.831,(191.704.012),,,1038514831.0,-191704012.0
04,04,04,Lỗ/(lãi) chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ,,2.125.772,(331.467),,,2125772.0,-331467.0
05,05,05,(Lãi)/lỗ từ hoạt động đầu tư,"23.2, 27",(865.972.444),134.054.019,,,-865972444.0,134054019.0
06,06,06,Chi phí lãi vay,25,759.605.140,914.705.236,,25.0,759605140.0,914705236.0
07,07,07,Các điều chỉnh khác,25,16.172.109,17.989.667,,25.0,16172109.0,17989667.0
08,08,08,(Lỗ)/lợi nhuận của hoạt động kinh doanh trước thay đổi vốn lưu động,,(64.207.777),35.741.904,,,-64207777.0,35741904.0
09,09,09,Giảm/(tăng) các khoản phải thu,,970.048.282,(892.813.900),,,970048282.0,-892813900.0
10,10,10,(Tăng)/giảm hàng tồn kho,,(6.020.064),43.928.368,,,-6020064.0,43928368.0
11,11,11,Giảm các khoản phải trả,,(151.288.804),(1.262.722.979),,,-151288804.0,-1262722979.0
12,12,12,(Tăng)/giảm chi phí trả trước,,(425.749),285.331,,,-425749.0,285331.0
14,14,14,Tiền lãi vay và lãi HĐHTKD đã trả,,(583.984.978),(728.189.479),,,-583984978.0,-728189479.0
17,17,17,Tiền chi khác cho hoạt động kinh doanh,,-,(1.236.000),,,,-1236000.0
20,20,20,Lưu chuyển tiền thuần từ/(sử dụng vào) hoạt động kinh doanh,,164.120.910,(2.805.006.755),,,164120910.0,-2805006755.0
,,,II. LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,,,,,,,
21,21,21,"Tiền chi để mua sắm, xây dựng TSCĐ",,(1.863.567),(252.850),,,-1863567.0,-252850.0
22,22,22,Tiền thu từ thanh lý TSCĐ,,-,24.105.154,,,,24105154.0
23,23,23,Tiền chi cho vay,,(1.419.765.358),(5.972.088.587),,,-1419765358.0,-5972088587.0
24,24,24,Tiền thu hồi cho vay,,990.258.291,4.828.959.104,,,990258291.0,4828959104.0
26,26,26,Tiền thu hồi đầu tư góp vốn vào đơn vị khác,,98.489.000,5.452.581.129,,,98489000.0,5452581129.0
27,27,27,"Tiền thu lãi cho vay, lãi tiền gửi",,464.131.973,861.335.320,,,464131973.0,861335320.0
30,30,30,Lưu chuyển tiền thuần từ hoạt động đầu tư,,131.250.339,5.194.639.270,,,131250339.0,5194639270.0
