row_label_raw,row_label_full,col_0,Năm nay,Ngân VNDNăm trước(Trình bày lại - Thuyết minh số 31),numeric__Năm nay,numeric__Ngân VNDNăm trước(Trình bày lại - Thuyết minh số 31)
Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,,
Chi phí dịch vụ mua ngoài,Chi phí bán hàng > Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,31.363.586,3.600.730,31363586.0,3600730.0
Chi phí lương nhân viên,Chi phí bán hàng > Chi phí lương nhân viên,Chi phí lương nhân viên,886.805,876.058,886805.0,876058.0
Chi phí bán hàng khác,Chi phí bán hàng > Chi phí bán hàng khác,Chi phí bán hàng khác,1.275.418,87.976,1275418.0,87976.0
,,,33.525.809,4.564.764,33525809.0,4564764.0
Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,,
Chi phí dự phòng,Chi phí quản lý doanh nghiệp > Chi phí dự phòng,Chi phí dự phòng,989.021.175,564.238.898,989021175.0,564238898.0
Chi phí lương nhân viên,Chi phí quản lý doanh nghiệp > Chi phí lương nhân viên,Chi phí lương nhân viên,34.187.290,35.556.338,34187290.0,35556338.0
Chi phí dịch vụ mua ngoài,Chi phí quản lý doanh nghiệp > Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,16.977.996,16.128.921,16977996.0,16128921.0
Chi phí khấu hao và hao mòn,Chi phí quản lý doanh nghiệp > Chi phí khấu hao và hao mòn,Chi phí khấu hao và hao mòn,7.052.386,7.401.429,7052386.0,7401429.0
Chi phí quản lý doanh nghiệp khác,Chi phí quản lý doanh nghiệp > Chi phí quản lý doanh nghiệp khác,Chi phí quản lý doanh nghiệp khác,1.769.395,8.593.828,1769395.0,8593828.0
,,,1.049.008.242,631.919.414,1049008242.0,631919414.0
TỔNG CỘNG,Chi phí quản lý doanh nghiệp > TỔNG CỘNG,TỔNG CỘNG,1.082.534.051,636.484.178,1082534051.0,636484178.0
