row_label_raw,row_label_full,Mã số,NGUỒN VỐN,Thuyết minh,Số cuối năm,Số đầu năm(Trình bày lại - Thuyết minh số 31),numeric__NGUỒN VỐN,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm(Trình bày lại - Thuyết minh số 31)
300,300,300,C. NỘ PHẢI TRẢ,,9.676.729.356,10.019.370.294,,,9676729356.0,10019370294.0
310,310,310,I. Nợ ngắn hạn,,2.417.473.192,1.536.353.671,,,2417473192.0,1536353671.0
311,311,311,1. Phải trả người bán ngắn hạn,16,114.348.264,58.205.395,,16.0,114348264.0,58205395.0
312,312,312,2. Người mua trả tiền trước ngắn hạn,17,16.234.635,2.604.811,,17.0,16234635.0,2604811.0
313,313,313,3. Thuế và các khoản phải nộp Nhà nước,18,1.544.356,4.998.774,,18.0,1544356.0,4998774.0
314,314,314,4. Phải trả người lao động,,11.475.806,11.983.333,,,11475806.0,11983333.0
315,315,315,5. Chi phí phải trả ngắn hạn,19,1.344.093.841,823.460.958,,19.0,1344093841.0,823460958.0
318,318,318,6. Doanh thu chưa thực hiện ngắn hạn,,409.091,60.667,,,409091.0,60667.0
319,319,319,7. Phải trả ngắn hạn khác,20,250.390.699,188.305.098,,20.0,250390699.0,188305098.0
320,320,320,8. Vay ngắn hạn,21,678.872.990,446.631.125,,21.0,678872990.0,446631125.0
322,322,322,"9. Quỹ khen thưởng, phúc lợi",,103.510,103.510,,,103510.0,103510.0
330,330,330,II. Nợ dài hạn,,7.259.256.164,8.483.016.623,,,7259256164.0,8483016623.0
333,333,333,1. Chi phí phải trả dài hạn,19,817.366.279,1.139.729.876,,19.0,817366279.0,1139729876.0
337,337,337,2. Phải trả dài hạn khác,20,7.666.626,292.666.626,,20.0,7666626.0,292666626.0
338,338,338,3. Vay dài hạn,21,6.428.613.238,7.044.687.161,,21.0,6428613238.0,7044687161.0
341,341,341,4. Thuế thu nhập hoãn lại phải trả,28.2,-,322.939,,282.0,,322939.0
342,342,342,5. Dự phòng phải trả dài hạn,,5.610.021,5.610.021,,,5610021.0,5610021.0
400,400,400,D. VỐN CHỦ SỞ HỮU,,6.139.478.329,7.167.909.848,,,6139478329.0,7167909848.0
410,410,410,I. Vốn chủ sở hữu,22.1,6.139.478.329,7.167.909.848,,221.0,6139478329.0,7167909848.0
411,411,411,1. Vốn cổ phần,,9.274.679.470,9.274.679.470,,,9274679470.0,9274679470.0
411a,411a,411a,- Cổ phiếu phố thông có quyền biểu quyết,,9.274.679.470,9.274.679.470,,,9274679470.0,9274679470.0
412,412,412,2. Thăng dư vốn cổ phần,,3.263.858.784,3.263.858.784,,,3263858784.0,3263858784.0
415,415,415,3. Cổ phiếu quỹ,,(686.640),(686.640),,,-686640.0,-686640.0
418,418,418,4. Quỹ đầu tư phát triển,,279.895.303,279.895.303,,,279895303.0,279895303.0
421,421,421,5. Lỗ lũy kế,,(6.678.268.588),(5.649.837.069),,,-6678268588.0,-5649837069.0
421a,421a,421a,- Lỗ lũy kế đến cuối năm trước,,(5.649.837.069),(4.795.545.136),,,-5649837069.0,-4795545136.0
421b,421b,421b,- Lỗ trong năm,,(1.028.431.519),(854.291.933),,,-1028431519.0,-854291933.0
440,440,440,TỔNG CỘNG NGUỒN VỐN,,15.816.207.685,17.187.280.142,,,15816207685.0,17187280142.0
