row_label_raw,row_label_full,col_0,Ngân VND,Ngân VND_1,numeric__Ngân VND,numeric__Ngân VND_1
,,,Năm nay,Năm trước(Trình bày lại -Thuyết minh số 31),,
Tổng lỗ kế toán trước thuế,Tổng lỗ kế toán trước thuế,Tổng lỗ kế toán trước thuế,(1.028.778.519),(853.509.212),-1028778519.0,-853509212.0
Các khoản điều chỉnh:,Các khoản điều chỉnh:,Các khoản điều chỉnh:,,,,
Chi phí không được khấu trừ,Các khoản điều chỉnh: > Chi phí không được khấu trừ,Chi phí không được khấu trừ,1.045.217.476,433.845.632,1045217476.0,433845632.0
Chênh lệch tỷ giá hối đoái từ đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ,Các khoản điều chỉnh: > Chênh lệch tỷ giá hối đoái từ đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ,Chênh lệch tỷ giá hối đoái từ đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ,1.885.903,(85.811),1885903.0,-85811.0
Thu nhập cổ tức,Các khoản điều chỉnh: > Thu nhập cổ tức,Thu nhập cổ tức,-,(11.959.979),,-11959979.0
Khác,Các khoản điều chỉnh: > Khác,Khác,6.288.895,-,6288895.0,
Lợi nhuận/(lỗ) tính thuế ước tính trong năm hiện hành,Các khoản điều chỉnh: > Lợi nhuận/(lỗ) tính thuế ước tính trong năm hiện hành,Lợi nhuận/(lỗ) tính thuế ước tính trong năm hiện hành,24.613.755,(431.709.370),24613755.0,-431709370.0
Lỗ năm trước chuyển sang,Các khoản điều chỉnh: > Lỗ năm trước chuyển sang,Lỗ năm trước chuyển sang,(24.613.755),-,-24613755.0,
Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,-,-,,
Thuế TNDN phải trả đầu năm,Chi phí thuế TNDN hiện hành > Thuế TNDN phải trả đầu năm,Thuế TNDN phải trả đầu năm,65.230,65.230,65230.0,65230.0
Thuế TNDN đã trả trong năm,Thuế TNDN đã trả trong năm,Thuế TNDN đã trả trong năm,-,-,,
Thuế TNDN phải trả cuối năm (TM số 18),Thuế TNDN đã trả trong năm > Thuế TNDN phải trả cuối năm (TM số 18),Thuế TNDN phải trả cuối năm (TM số 18),65.230,65.230,65230.0,65230.0
