row_label_raw,row_label_full,col_0,Quyền sử dụng đất,"Nhà cửa, vật kiến trúc",Ngàn VND Tổng cộng,numeric__Quyền sử dụng đất,"numeric__Nhà cửa, vật kiến trúc",numeric__Ngàn VND Tổng cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Số đầu năm và số cuối năm,Nguyên giá > Số đầu năm và số cuối năm,Số đầu năm và số cuối năm,27.072.022,47.003.809,74.075.831,27072022.0,47003809.0,74075831.0
Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,,,
Số đầu năm,Giá trị khấu hao lũy kế > Số đầu năm,Số đầu năm,(2.957.577),(3.250.255),(6.207.832),-2957577.0,-3250255.0,-6207832.0
Khấu hao trong năm,Giá trị khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,(739.394),(1.891.459),(2.630.853),-739394.0,-1891459.0,-2630853.0
Số cuối năm,Giá trị khấu hao lũy kế > Số cuối năm,Số cuối năm,(3.696.971),(5.141.714),(8.838.685),-3696971.0,-5141714.0,-8838685.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Số đầu năm,Giá trị còn lại > Số đầu năm,Số đầu năm,24.114.445,43.753.554,67.867.999,24114445.0,43753554.0,67867999.0
Số cuối năm,Giá trị còn lại > Số cuối năm,Số cuối năm,23.375.051,41.862.095,65.237.146,23375051.0,41862095.0,65237146.0
Trong đó:Thế chấp để đảm bảo các khoảnvay của Công ty (TM số 21.1),Giá trị còn lại > Trong đó:Thế chấp để đảm bảo các khoảnvay của Công ty (TM số 21.1),Trong đó:Thế chấp để đảm bảo các khoảnvay của Công ty (TM số 21.1),23.375.051,41.862.095,65.237.146,23375051.0,41862095.0,65237146.0
