row_label_raw,row_label_full,col_0,Số cuối năm,Ngàn VND > Số đầu năm,numeric__Số cuối năm,numeric__Ngàn VND > Số đầu năm
Phải trả người bán hàng hóa và dịch vụ,Phải trả người bán hàng hóa và dịch vụ,Phải trả người bán hàng hóa và dịch vụ,113.677.123,57.448.357,113677123.0,57448357.0
Phải trả khác,Phải trả khác,Phải trả khác,671.141,757.038,671141.0,757038.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,114.348.264,58.205.395,114348264.0,58205395.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Phải trả cho các bên thứ ba,Trong đó: > Phải trả cho các bên thứ ba,Phải trả cho các bên thứ ba,72.817.744,30.221.256,72817744.0,30221256.0
Phải trả cho các bên liên quan (TM số 29),Trong đó: > Phải trả cho các bên liên quan (TM số 29),Phải trả cho các bên liên quan (TM số 29),41.530.520,27.984.139,41530520.0,27984139.0
