row_label_raw,row_label_full,Tổ chức thu xếp phát hành > BIDV và BSC,Trái chủ > BIDV (*),Số tiền (Ngàn VND) > 5.876.000.000,"Lãi suất (%/năm) > Trung bình cộng của lãi suất tiền gửi tiết kiệm cá nhân kỳ hạn mười hai (12) tháng bằng VND được công bố tại Chi nhánh của bốn (4) Ngân hàng thương mại tại Tĩnh Gia Lai, bao gồm: Agribank, BIDV, Vietcombank và Vietinbank cộng với biển độ 3,00 (2020: 9,50 - 9,80)",Ngày đáo hạn > Ngày 30 tháng 12 năm 2026,Mục đích > Bổ sung vốn cho các dự án đầu tư và tái cấu trúc nợ vay của Tập đoàn,"Tài sản thế chấp (TM số 10, 11, 12 và 13) > Các quyền thuê đất như sau:4.852,74 ha tại Tĩnh Attapeu, Lào thuộc sở hữu của Công ty TNHH Công nghiệp và Nông nghiệp Cao su Hoàng Anh - Quang Minh;9.996,9 ha (trồng cao su); 4.733,01 ha (trồng cao su) và 3.155,79 ha (trồng cọ đầu) tại Tĩnh Attapeu, Lào thuộc sở hữu của Công ty TNHH Phát triển Nông nghiệp Hoàng Anh Attapeu;9.380,9 ha (đã trồng 7.102 ha cọ dầu) tại Tĩnh Ratanakiri, Campuchia thuộc sở hữu của Công ty TNHH Hoàng Anh Andong Meas;1.960,91 ha tại Tĩnh Ratanakiri, Campuchia thuộc sở hữu của Công ty TNHH Heng Brothers;3.283,66 ha tại Tĩnh Ratanakiri, Campuchia thuộc sở hữu của Công ty TNHH CRD;Tất cả tài sản (động sản và bất động sản) gắn liền trên đất và mọi quyền, quyền lợi và lợi ích gắn liền với hoặc phát sinh từ tài sản gắn liền với đất như trên;Quyền sở hữu và quyền được bởi thường khi phát sinh các sự kiện bảo hiểm theo các hợp đồng bảo hiểm đối với tài sản gắn liền với đất nếu trên;44.926.000 cổ phiếu HAG thuộc sở hữu của ống Đoàn Nguyên Đức.",numeric__Trái chủ > BIDV (*),numeric__Số tiền (Ngàn VND) > 5.876.000.000,"numeric__Lãi suất (%/năm) > Trung bình cộng của lãi suất tiền gửi tiết kiệm cá nhân kỳ hạn mười hai (12) tháng bằng VND được công bố tại Chi nhánh của bốn (4) Ngân hàng thương mại tại Tĩnh Gia Lai, bao gồm: Agribank, BIDV, Vietcombank và Vietinbank cộng với biển độ 3,00 (2020: 9,50 - 9,80)",numeric__Ngày đáo hạn > Ngày 30 tháng 12 năm 2026,numeric__Mục đích > Bổ sung vốn cho các dự án đầu tư và tái cấu trúc nợ vay của Tập đoàn,"numeric__Tài sản thế chấp (TM số 10, 11, 12 và 13) > Các quyền thuê đất như sau:4.852,74 ha tại Tĩnh Attapeu, Lào thuộc sở hữu của Công ty TNHH Công nghiệp và Nông nghiệp Cao su Hoàng Anh - Quang Minh;9.996,9 ha (trồng cao su); 4.733,01 ha (trồng cao su) và 3.155,79 ha (trồng cọ đầu) tại Tĩnh Attapeu, Lào thuộc sở hữu của Công ty TNHH Phát triển Nông nghiệp Hoàng Anh Attapeu;9.380,9 ha (đã trồng 7.102 ha cọ dầu) tại Tĩnh Ratanakiri, Campuchia thuộc sở hữu của Công ty TNHH Hoàng Anh Andong Meas;1.960,91 ha tại Tĩnh Ratanakiri, Campuchia thuộc sở hữu của Công ty TNHH Heng Brothers;3.283,66 ha tại Tĩnh Ratanakiri, Campuchia thuộc sở hữu của Công ty TNHH CRD;Tất cả tài sản (động sản và bất động sản) gắn liền trên đất và mọi quyền, quyền lợi và lợi ích gắn liền với hoặc phát sinh từ tài sản gắn liền với đất như trên;Quyền sở hữu và quyền được bởi thường khi phát sinh các sự kiện bảo hiểm theo các hợp đồng bảo hiểm đối với tài sản gắn liền với đất nếu trên;44.926.000 cổ phiếu HAG thuộc sở hữu của ống Đoàn Nguyên Đức."
Chi phí phát hành trái phiếu,Chi phí phát hành trái phiếu,Chi phí phát hành trái phiếu,,(45.868.883),,,,,,-45868883.0,,,,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,5.830.131.117,,,,,,5830131117.0,,,,
Trong đó:Trái phiếu dài hạnTrái phiếu dài hạn đến hạn trả,Trong đó:Trái phiếu dài hạnTrái phiếu dài hạn đến hạn trả,Trong đó:Trái phiếu dài hạnTrái phiếu dài hạn đến hạn trả,,5.512.629.082317.502.035,,,,,,5.512629082317502e+18,,,,
