row_label_raw,row_label_full,col_0,Hoạt động dịch vụ và hoạt động khác,Hoạt động sản xuất và thương mại,Hoạt động kinh doanh bất động sản,Tổng cộng toàn doanh nghiệp,numeric__Hoạt động dịch vụ và hoạt động khác,numeric__Hoạt động sản xuất và thương mại,numeric__Hoạt động kinh doanh bất động sản,numeric__Tổng cộng toàn doanh nghiệp
,,,VND,VND,VND,VND,,,,
Doanh thu thuần từ bán hàng ra bên ngoài,Doanh thu thuần từ bán hàng ra bên ngoài,Doanh thu thuần từ bán hàng ra bên ngoài,92.637.945.944,765.522.764.104,45.384.067.332,903.544.777.380,92637945944.0,765522764104.0,45384067332.0,903544777380.0
Lợi nhuận gộp từ hoạt động kinh doanh,Lợi nhuận gộp từ hoạt động kinh doanh,Lợi nhuận gộp từ hoạt động kinh doanh,(6.655.068.595),386.273.354.656,(1.026.176.550),378.592.109.511,-6655068595.0,386273354656.0,-1026176550.0,378592109511.0
Tổng chi phí mua Tài sản cố định,Tổng chi phí mua Tài sản cố định,Tổng chi phí mua Tài sản cố định,2.155.982.904,4.001.071.494,-,6.157.054.398,2155982904.0,4001071494.0,,6157054398.0
Tài sản bộ phận,Tài sản bộ phận,Tài sản bộ phận,3.511.822.463.529,581.403.759.645,1.386.869.523.536,3.064.439.302.443,3511822463529.0,581403759645.0,1386869523536.0,3064439302443.0
Tài sản không phân bổ,Tài sản không phân bổ,Tài sản không phân bổ,,,,695.904.068.323,,,,695904068323.0
Tổng Tài sản,Tổng Tài sản,Tổng Tài sản,3.513.978.446.433,585.404.831.139,1.386.869.523.536,3.760.343.370.766,3513978446433.0,585404831139.0,1386869523536.0,3760343370766.0
Nợ phải trả của các bộ phận,Nợ phải trả của các bộ phận,Nợ phải trả của các bộ phận,1.437.404.762.416,56.488.735.598,816.003.303.568,2.007.316.625.987,1437404762416.0,56488735598.0,816003303568.0,2007316625987.0
Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,,,,518.130.462.659,,,,518130462659.0
Tổng Nợ phải trả,Tổng Nợ phải trả,Tổng Nợ phải trả,1.437.404.762.416,56.488.735.598,816.003.303.568,2.525.447.088.646,1437404762416.0,56488735598.0,816003303568.0,2525447088646.0
