row_label_raw,row_label_full,Phân phối lợi nhuận,Tại Công ty mẹ (1),Các công ty con phân phối cho > Công ty mẹ (2),Các công ty con phân phối cho > Cổ đông khôngkiểm soát,Cộng\( (3) = (1) + (2) \),Trong đó đã tạmphân phối trongnăm hiện hành,numeric__Tại Công ty mẹ (1),numeric__Các công ty con phân phối cho > Công ty mẹ (2),numeric__Các công ty con phân phối cho > Cổ đông khôngkiểm soát,numeric__Cộng\( (3) = (1) + (2) \),numeric__Trong đó đã tạmphân phối trongnăm hiện hành
,,,VND,VND,VND,VND,VND,,,,,
"Trích Quỹ khen thưởng,phúc lợi","Trích Quỹ khen thưởng,phúc lợi","Trích Quỹ khen thưởng,phúc lợi",-,3.706.138.176,2.499.746.476,3.706.138.176,-,,3706138176.0,2499746476.0,3706138176.0,
Chi trả cổ tức bằng tiền,Chi trả cổ tức bằng tiền,Chi trả cổ tức bằng tiền,-,82.235.990.000,264.009.569,82.235.990.000,-,,82235990000.0,264009569.0,82235990000.0,
Chi trả cổ tức bằng cổphiếu,Chi trả cổ tức bằng cổphiếu,Chi trả cổ tức bằng cổphiếu,-,4.983.002.619,16.997.380,4.983.002.619,-,,4983002619.0,16997380.0,4983002619.0,
