row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc",Cộng,"numeric__Nhà cửa,vật kiến trúc",numeric__Cộng
,,,VND,VND,,
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,50.952.499.193,50.952.499.193,50952499193.0,50952499193.0
"- Thanh lý, nhượng bán (*)","Nguyên giá > - Thanh lý, nhượng bán (*)","- Thanh lý, nhượng bán (*)",(50.952.499.193),(50.952.499.193),-50952499193.0,-50952499193.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,-,-,,
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,7.988.315.568,7.988.315.568,7988315568.0,7988315568.0
- Khấu hao trong năm,Giá trị hao mòn lũy kế > - Khấu hao trong năm,- Khấu hao trong năm,1.291.920.255,1.291.920.255,1291920255.0,1291920255.0
"- Thanh lý, nhượng bán (*)","Giá trị hao mòn lũy kế > - Thanh lý, nhượng bán (*)","- Thanh lý, nhượng bán (*)",(9.280.235.823),(9.280.235.823),-9280235823.0,-9280235823.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,-,-,,
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,
Tại ngày đầu năm,Giá trị còn lại > Tại ngày đầu năm,Tại ngày đầu năm,42.964.183.625,42.964.183.625,42964183625.0,42964183625.0
Tại ngày cuối năm,Tại ngày cuối năm,Tại ngày cuối năm,-,-,,
