row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc","Máy móc,thiết bị","Phương tiện vântài, truyền dẫn",TSCĐ dùngtrong quản lý,TSCĐ hữu hìnhkhác,Cộng,"numeric__Nhà cửa,vật kiến trúc","numeric__Máy móc,thiết bị","numeric__Phương tiện vântài, truyền dẫn",numeric__TSCĐ dùngtrong quản lý,numeric__TSCĐ hữu hìnhkhác,numeric__Cộng
,,,VND,VND,VND,VND,VND,VND,,,,,,
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,1.349.692.689.013,260.386.750.542,39.166.697.351,928.046.735,10.266.625.331,1.660.440.808.972,1349692689013.0,260386750542.0,39166697351.0,928046735.0,10266625331.0,1660440808972.0
- Mua trong năm,Nguyên giá > - Mua trong năm,- Mua trong năm,-,1.639.184.400,2.193.065.455,212.280.000,298.770.000,4.343.299.855,,1639184400.0,2193065455.0,212280000.0,298770000.0,4343299855.0
- Đầu tư xây dựng cỡ bản hoànthành,Nguyên giá > - Đầu tư xây dựng cỡ bản hoànthành,- Đầu tư xây dựng cỡ bản hoànthành,170.908.360,-,-,-,-,170.908.360,170908360.0,,,,,170908360.0
"- Thanh lý, nhượng bán","Nguyên giá > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",-,(377.272.200),(1.573.635.716),-,-,(1.950.907.916),,-377272200.0,-1573635716.0,,,-1950907916.0
- Giảm do thoái vốn tại Công ty con,Nguyên giá > - Giảm do thoái vốn tại Công ty con,- Giảm do thoái vốn tại Công ty con,(526.557.851.083),(103.889.484.427),(7.804.672.733),(264.232.925),(2.327.781.847),(640.844.023.015),-526557851083.0,-103889484427.0,-7804672733.0,-264232925.0,-2327781847.0,-640844023015.0
- Giảm khác,Nguyên giá > - Giảm khác,- Giảm khác,-,(3.532.085.405),(146.703.144),-,(246.280.000),(3.925.068.549),,-3532085405.0,-146703144.0,,-246280000.0,-3925068549.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,823.305.746.290,154.227.092.910,31.834.751.213,876.093.810,7.991.333.484,1.018.235.017.707,823305746290.0,154227092910.0,31834751213.0,876093810.0,7991333484.0,1018235017707.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,351.535.177.761,176.413.393.860,21.433.505.087,912.068.677,7.509.970.759,557.804.116.144,351535177761.0,176413393860.0,21433505087.0,912068677.0,7509970759.0,557804116144.0
- Khấu hao trong năm,Giá trị hao mòn lũy kế > - Khấu hao trong năm,- Khấu hao trong năm,23.204.555.314,8.773.714.867,3.507.719.430,91.970.386,826.612.517,36.404.572.514,23204555314.0,8773714867.0,3507719430.0,91970386.0,826612517.0,36404572514.0
"- Thanh lý, nhượng bán","Giá trị hao mòn lũy kế > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",-,(151.990.688),(1.573.635.716),-,-,(1.725.626.404),,-151990688.0,-1573635716.0,,,-1725626404.0
- Giảm do thoái vốn tại Công ty con,Giá trị hao mòn lũy kế > - Giảm do thoái vốn tại Công ty con,- Giảm do thoái vốn tại Công ty con,(189.215.405.892),(73.283.283.851),(4.269.547.228),(264.232.922),(1.538.390.886),(268.570.860.779),-189215405892.0,-73283283851.0,-4269547228.0,-264232922.0,-1538390886.0,-268570860779.0
- Giảm khác,Giá trị hao mòn lũy kế > - Giảm khác,- Giảm khác,-,(3.532.085.405),(146.703.144),-,(246.280.000),(3.925.068.549),,-3532085405.0,-146703144.0,,-246280000.0,-3925068549.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,185.524.327.183,108.219.748.783,18.951.338.429,739.806.141,6.551.912.390,319.987.132.926,185524327183.0,108219748783.0,18951338429.0,739806141.0,6551912390.0,319987132926.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Tại ngày đầu năm,Giá trị còn lại > Tại ngày đầu năm,Tại ngày đầu năm,998.157.511.252,83.973.356.682,17.733.192.264,15.978.058,2.756.654.572,1.102.636.692.828,998157511252.0,83973356682.0,17733192264.0,15978058.0,2756654572.0,1102636692828.0
Tại ngày cuối năm,Giá trị còn lại > Tại ngày cuối năm,Tại ngày cuối năm,637.781.419.107,46.007.344.127,12.883.412.784,136.287.669,1.439.421.094,698.247.884.781,637781419107.0,46007344127.0,12883412784.0,136287669.0,1439421094.0,698247884781.0
