row_label_raw,row_label_full,col_0,Vốn đầu tư của chủ sở hữu,Vốn khác của chủ sở hữu,Cổ phiếu quỹ,Quỹ khác thuộc vốn chủ sở hữu,Quỹ đầu tư phát triển,Lợi nhuận chưa phân phối,Lợi ích cổ đông không kiểm soát,Cộng,numeric__Vốn đầu tư của chủ sở hữu,numeric__Vốn khác của chủ sở hữu,numeric__Cổ phiếu quỹ,numeric__Quỹ khác thuộc vốn chủ sở hữu,numeric__Quỹ đầu tư phát triển,numeric__Lợi nhuận chưa phân phối,numeric__Lợi ích cổ đông không kiểm soát,numeric__Cộng
,,,VND,VND,VND,VND,VND,VND,VND,VND,,,,,,,,
Số dư đầu năm trước,Số dư đầu năm trước,Số dư đầu năm trước,3.000.000.000.000,1.286.825.482,(10.000),14.345.072.839,110.486.383.968,(2.876.069.277.205),607.443.771.731,857.492.766.815,3000000000000.0,1286825482.0,-10000.0,14345072839.0,110486383968.0,-2876069277205.0,607443771731.0,857492766815.0
- Tăng vốn trong năm trước,- Tăng vốn trong năm trước,- Tăng vốn trong năm trước,-,-,-,-,-,-,17.800.000,17.800.000,,,,,,,17800000.0,17800000.0
- Lãi trong năm trước,- Lãi trong năm trước,- Lãi trong năm trước,-,-,-,-,-,74.624.965.938,8.046.560.159,82.671.526.097,,,,,,74624965938.0,8046560159.0,82671526097.0
- Chia cổ tức tại công ty con,- Chia cổ tức tại công ty con,- Chia cổ tức tại công ty con,-,-,-,-,-,-,(22.458.468.874),(22.458.468.874),,,,,,,-22458468874.0,-22458468874.0
- Phân phối lợi nhuận,- Phân phối lợi nhuận,- Phân phối lợi nhuận,-,-,-,-,387.338.061,(2.975.057.129),(2.741.250.157),(5.328.969.225),,,,,387338061.0,-2975057129.0,-2741250157.0,-5328969225.0
- Chênh lệch giá mua và giá trị thuần khi đầu tư thêm,- Chênh lệch giá mua và giá trị thuần khi đầu tư thêm,- Chênh lệch giá mua và giá trị thuần khi đầu tư thêm,-,-,-,-,-,(45.507.160.487),(14.727.038.378),(60.234.198.865),,,,,,-45507160487.0,-14727038378.0,-60234198865.0
- Điều chỉnh do thoái vốn tại Công ty con trong năm,- Điều chỉnh do thoái vốn tại Công ty con trong năm,- Điều chỉnh do thoái vốn tại Công ty con trong năm,-,-,-,-,(43.317.749),-,(40.074.593.904),(40.117.911.653),,,,,-43317749.0,,-40074593904.0,-40117911653.0
- Điều chỉnh lợi ích do đầu tư thêm cổ phần tại Công,- Điều chỉnh lợi ích do đầu tư thêm cổ phần tại Công,- Điều chỉnh lợi ích do đầu tư thêm cổ phần tại Công,-,-,-,-,-,-,(58.099.712.735),(58.099.712.735),,,,,,,-58099712735.0,-58099712735.0
- Giám khác,- Giám khác,- Giám khác,-,-,-,-,-,(14.941.767),(19.508.234),(34.450.001),,,,,,-14941767.0,-19508234.0,-34450001.0
Số dư cuối năm trước,Số dư cuối năm trước,Số dư cuối năm trước,3.000.000.000.000,1.286.825.482,(10.000),14.345.072.839,110.830.404.280,(2.849.941.470.651),477.387.559.608,753.908.381.558,3000000000000.0,1286825482.0,-10000.0,14345072839.0,110830404280.0,-2849941470651.0,477387559608.0,753908381558.0
