row_label_raw,row_label_full,col_0,Năm 2020,Năm 2019,numeric__Năm 2020,numeric__Năm 2019
,,,VND,VND,,
Chi phí thuế TNDN hiện hành tại Công ty mẹ,Chi phí thuế TNDN hiện hành tại Công ty mẹ,Chi phí thuế TNDN hiện hành tại Công ty mẹ,-,-,,
Chi phí thuế TNDN hiện hành tại (các) Công ty con,Chi phí thuế TNDN hiện hành tại Công ty mẹ > Chi phí thuế TNDN hiện hành tại (các) Công ty con,Chi phí thuế TNDN hiện hành tại (các) Công ty con,35.514.287.356,42.264.799.336,35514287356.0,42264799336.0
Tổng chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành tại Công ty mẹ > Tổng chi phí thuế TNDN hiện hành,Tổng chi phí thuế TNDN hiện hành,35.514.287.356,42.264.799.336,35514287356.0,42264799336.0
