row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu,Thặng dư vốn cổ phần,Quỹ đầu tư phát triển,Lợi nhuận sau thuế chưa phân phối,Cộng,numeric__Vốn góp của chủ sở hữu,numeric__Thặng dư vốn cổ phần,numeric__Quỹ đầu tư phát triển,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Cộng
Số dư đầu năm trước,Số dư đầu năm trước,Số dư đầu năm trước,2.170.973.230.000,211.326.226.000,257.854.492.055,706.787.541.908,3.346.941.489.963,2170973230000.0,211326226000.0,257854492055.0,706787541908.0,3346941489963.0
Lợi nhuận trong năm trước,Lợi nhuận trong năm trước,Lợi nhuận trong năm trước,-,-,-,493.670.969.205,493.670.969.205,,,,493670969205.0,493670969205.0
Trích lập các quỹ trong năm trước,Trích lập các quỹ trong năm trước,Trích lập các quỹ trong năm trước,-,-,187.068.969.842,(221.364.931.482),(34.295.961.640),,,187068969842.0,-221364931482.0,-34295961640.0
Số dư cuối năm trước,Số dư cuối năm trước,Số dư cuối năm trước,2.170.973.230.000,211.326.226.000,444.923.461.897,979.093.579.631,3.806.316.497.528,2170973230000.0,211326226000.0,444923461897.0,979093579631.0,3806316497528.0
Số dư đầu năm nay,Số dư đầu năm nay,Số dư đầu năm nay,2.170.973.230.000,211.326.226.000,444.923.461.897,979.093.579.631,3.806.316.497.528,2170973230000.0,211326226000.0,444923461897.0,979093579631.0,3806316497528.0
Tăng vốn điều lệ từ phát hành cổ phiếu,Tăng vốn điều lệ từ phát hành cổ phiếu,Tăng vốn điều lệ từ phát hành cổ phiếu,347.351.860.000,-,-,(347.351.860.000),-,347351860000.0,,,-347351860000.0,
Lợi nhuận trong năm nay,Lợi nhuận trong năm nay,Lợi nhuận trong năm nay,-,-,-,371.845.725.142,371.845.725.142,,,,371845725142.0,371845725142.0
Trích lập các quỹ trong năm nay,Trích lập các quỹ trong năm nay,Trích lập các quỹ trong năm nay,-,-,148.101.290.762,(174.019.039.222),(25.917.748.460),,,148101290762.0,-174019039222.0,-25917748460.0
"Chia cổ tức, lợi nhuận","Chia cổ tức, lợi nhuận","Chia cổ tức, lợi nhuận",-,-,-,(352.565.512.600),(352.565.512.600),,,,-352565512600.0,-352565512600.0
Số dư cuối năm nay,Số dư cuối năm nay,Số dư cuối năm nay,2.518.325.090.000,211.326.226.000,593.024.752.659,477.002.892.951,3.799.678.961.610,2518325090000.0,211326226000.0,593024752659.0,477002892951.0,3799678961610.0
