row_label_raw,row_label_full,col_0,Chức danh,Tiền lương,Thường,Thù lao,Cộng thu nhập,numeric__Chức danh,numeric__Tiền lương,numeric__Thường,numeric__Thù lao,numeric__Cộng thu nhập
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,,
Ông Đỗ Quang Ngôn,Năm nay > Ông Đỗ Quang Ngôn,Ông Đỗ Quang Ngôn,Chủ tịch HDQT,900.000.000,375.000.000,528.900.000,1.803.900.000,,900000000.0,375000000.0,528900000.0,1803900000.0
Ông Quảng Văn Việt Cương,Năm nay > Ông Quảng Văn Việt Cương,Ông Quảng Văn Việt Cương,Phó Chủ tịch HDQT,-,-,423.100.000,423.100.000,,,,423100000.0,423100000.0
Bà Lê Thị Xuân Diệu,Bà Lê Thị Xuân Diệu,Bà Lê Thị Xuân Diệu,Thành viên HDQT(bố nhiệm từ ngày 07/4/2023),-,-,-,-,,,,,
Ông Lê Đức Thịnh,Bà Lê Thị Xuân Diệu > Ông Lê Đức Thịnh,Ông Lê Đức Thịnh,Thành viên HDQT(miễn nhiệm từ ngày 07/4/2023),-,-,246.800.000,246.800.000,,,,246800000.0,246800000.0
Ông Trần Thiện Thế,Bà Lê Thị Xuân Diệu > Ông Trần Thiện Thế,Ông Trần Thiện Thế,Thành viên HDQT,-,-,246.800.000,246.800.000,,,,246800000.0,246800000.0
Ông Nguyễn Hải Hoàng,Bà Lê Thị Xuân Diệu > Ông Nguyễn Hải Hoàng,Ông Nguyễn Hải Hoàng,Trường Ban Kiểm soát,-,-,246.800.000,246.800.000,,,,246800000.0,246800000.0
Bà Lê Thị Thủy Dương,Bà Lê Thị Xuân Diệu > Bà Lê Thị Thủy Dương,Bà Lê Thị Thủy Dương,Thành viên Ban Kiểm soát,-,-,176.300.000,176.300.000,,,,176300000.0,176300000.0
Bà Châu Thị Văn,Bà Lê Thị Xuân Diệu > Bà Châu Thị Văn,Bà Châu Thị Văn,Thành viên Ban Kiểm soát,-,-,176.300.000,176.300.000,,,,176300000.0,176300000.0
Ông Trịnh Thành Hùng,Bà Lê Thị Xuân Diệu > Ông Trịnh Thành Hùng,Ông Trịnh Thành Hùng,Tổng Giám đốc,840.000.000,618.000.000,-,1.458.000.000,,840000000.0,618000000.0,,1458000000.0
Bà Võ Thị Huyền Trang,Bà Lê Thị Xuân Diệu > Bà Võ Thị Huyền Trang,Bà Võ Thị Huyền Trang,Thành viên HDQTPhó Tổng Giám đốc,660.000.000,452.000.000,246.800.000,1.358.800.000,,660000000.0,452000000.0,246800000.0,1358800000.0
Ông Trần Ngọc Hiền,Bà Lê Thị Xuân Diệu > Ông Trần Ngọc Hiền,Ông Trần Ngọc Hiền,Phó Tổng Giám đốc,660.000.000,452.000.000,-,1.112.000.000,,660000000.0,452000000.0,,1112000000.0
Bà Bùi Thị Thùy,Bà Lê Thị Xuân Diệu > Bà Bùi Thị Thùy,Bà Bùi Thị Thùy,Kế toán trưởng,660.000.000,452.000.000,-,1.112.000.000,,660000000.0,452000000.0,,1112000000.0
Cộng,Bà Lê Thị Xuân Diệu > Cộng,Cộng,,3.720.000.000,2.349.000.000,2.291.800.000,8.360.800.000,,3720000000.0,2349000000.0,2291800000.0,8360800000.0
Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,,,,,
Ông Nguyễn Văn Hùng,Năm trước > Ông Nguyễn Văn Hùng,Ông Nguyễn Văn Hùng,Nguyễn Chủ tịch HDQT,-,-,557.000.000,557.000.000,,,,557000000.0,557000000.0
Ông Quảng Văn Việt Cương,Năm trước > Ông Quảng Văn Việt Cương,Ông Quảng Văn Việt Cương,Phó Chủ tịch,-,-,446.000.000,446.000.000,,,,446000000.0,446000000.0
Ông Nguyễn Hoàn Vũ,Năm trước > Ông Nguyễn Hoàn Vũ,Ông Nguyễn Hoàn Vũ,Nguyễn thành viên,-,-,260.000.000,260.000.000,,,,260000000.0,260000000.0
Ông Trần Thiện Thế,Năm trước > Ông Trần Thiện Thế,Ông Trần Thiện Thế,Thành viên,-,-,260.000.000,260.000.000,,,,260000000.0,260000000.0
Ông Nguyễn Văn Hiền Phúc,Năm trước > Ông Nguyễn Văn Hiền Phúc,Ông Nguyễn Văn Hiền Phúc,Nguyễn thành viên,-,-,260.000.000,260.000.000,,,,260000000.0,260000000.0
Ông Lê Đức Thịnh,Ông Lê Đức Thịnh,Ông Lê Đức Thịnh,Thành viên,-,-,-,-,,,,,
Ông Lê Anh Tuấn,Ông Lê Đức Thịnh > Ông Lê Anh Tuấn,Ông Lê Anh Tuấn,Nguyễn thành viên,-,-,260.000.000,260.000.000,,,,260000000.0,260000000.0
Nguyễn Thị Thủy Dương,Ông Lê Đức Thịnh > Nguyễn Thị Thủy Dương,Nguyễn Thị Thủy Dương,Nguyễn TrườngBan kiểm soát,-,-,260.000.000,260.000.000,,,,260000000.0,260000000.0
