row_label_raw,row_label_full,col_0,Số đầu năm,Kết chuyển sang vayvà nợ ngắn hạn,Số cuối năm,numeric__Số đầu năm,numeric__Kết chuyển sang vayvà nợ ngắn hạn,numeric__Số cuối năm
Vay dài hạn ngân hàng,Vay dài hạn ngân hàng,Vay dài hạn ngân hàng,159.600.000.000,(99.920.000.000),59.680.000.000,159600000000.0,-99920000000.0,59680000000.0
Trái phiếu thường,Trái phiếu thường,Trái phiếu thường,244.705.000.000,(94.352.500.000),150.352.500.000,244705000000.0,-94352500000.0,150352500000.0
Cộng,Cộng,Cộng,404.305.000.000,(194.272.500.000),210.032.500.000,404305000000.0,-194272500000.0,210032500000.0
