row_label_raw,row_label_full,col_0,31/12/2025 > Giá trị đầu tưTriệu VND,31/12/2025 > Dự phòngTriệu VND,31/12/2025 > Ti lệ nắm giữ%,31/12/2024 > Giá trị đầu tưTriệu VND,31/12/2024 > Dự phòngTriệu VND,31/12/2024 > Ti lệ nắm giữ%,numeric__31/12/2025 > Giá trị đầu tưTriệu VND,numeric__31/12/2025 > Dự phòngTriệu VND,numeric__31/12/2025 > Ti lệ nắm giữ%,numeric__31/12/2024 > Giá trị đầu tưTriệu VND,numeric__31/12/2024 > Dự phòngTriệu VND,numeric__31/12/2024 > Ti lệ nắm giữ%
Đầu tư vào công ty con,Đầu tư vào công ty con,Đầu tư vào công ty con,127.000,-,,127.000,-,,127000.0,,,127000.0,,
Công ty TNHH Kiều Hối Bắc Á,Công ty TNHH Kiều Hối Bắc Á,Công ty TNHH Kiều Hối Bắc Á,77.000,-,100%,77.000,-,100%,77000.0,,1.0,77000.0,,1.0
Công ty TNHH MTV Quản lý nợ và Khai thác Tài sản -Ngân hàng TMCP Bắc Á (AMC),Công ty TNHH MTV Quản lý nợ và Khai thác Tài sản -Ngân hàng TMCP Bắc Á (AMC),Công ty TNHH MTV Quản lý nợ và Khai thác Tài sản -Ngân hàng TMCP Bắc Á (AMC),50.000,-,100%,50.000,-,100%,50000.0,,1.0,50000.0,,1.0
Các khoản đầu tư dài hạn khác,Các khoản đầu tư dài hạn khác,Các khoản đầu tư dài hạn khác,52.605,(23.297),,168.105,(21.949),,52605.0,-23297.0,,168105.0,-21949.0,
Công ty Cổ phần Thủy điện Hủa Na,Công ty Cổ phần Thủy điện Hủa Na,Công ty Cổ phần Thủy điện Hủa Na,-,-,-,115.500,-,"4,91%",,,,115500.0,,0.049100000000000005
Công ty Cổ phần Thanh toán Quốc gia Việt Nam,Công ty Cổ phần Thanh toán Quốc gia Việt Nam,Công ty Cổ phần Thanh toán Quốc gia Việt Nam,2.000,-,"0,83%",2.000,-,"0,83%",2000.0,,0.0083,2000.0,,0.0083
Tổng công ty MBLand,Tổng công ty MBLand,Tổng công ty MBLand,1.676,-,"0,06%",1.676,-,"0,26%",1676.0,,0.0006,1676.0,,0.0026
Công ty Cổ phần Quản lý Quỹ Đầu tư MB,Công ty Cổ phần Quản lý Quỹ Đầu tư MB,Công ty Cổ phần Quản lý Quỹ Đầu tư MB,19.780,-,"6,11%",19.780,-,"6,11%",19780.0,,0.0611,19780.0,,0.0611
Công ty Cổ phần Sống Lam Nghệ An,Công ty Cổ phần Sống Lam Nghệ An,Công ty Cổ phần Sống Lam Nghệ An,2.000,(2.000),"10,00%",2.000,(2.000),"10,00%",2000.0,-2000.0,0.1,2000.0,-2000.0,0.1
Công ty Cổ phần Tập đoàn Mai Linh,Công ty Cổ phần Tập đoàn Mai Linh,Công ty Cổ phần Tập đoàn Mai Linh,21.889,(18.118),"0,50%",21.889,(18.183),"0,50%",21889.0,-18118.0,0.005,21889.0,-18183.0,0.005
Công ty Cổ phần xếp hạng tín nhiệm Đầu tư Việt Nam,Công ty Cổ phần xếp hạng tín nhiệm Đầu tư Việt Nam,Công ty Cổ phần xếp hạng tín nhiệm Đầu tư Việt Nam,5.260,(3.179),"2,70%",5.260,(1.766),"5,10%",5260.0,-3179.0,0.027000000000000003,5260.0,-1766.0,0.051
,,,179.605,(23.297),,295.105,(21.949),,179605.0,-23297.0,,295105.0,-21949.0,
