row_label_raw,row_label_full,col_0,Dự phòng cụ thểTriệu VND,Dự phòng chungTriệu VND,Tổng cộngTriệu VND,numeric__Dự phòng cụ thểTriệu VND,numeric__Dự phòng chungTriệu VND,numeric__Tổng cộngTriệu VND
Năm 2025,Năm 2025,Năm 2025,Năm 2025,Năm 2025,Năm 2025,,,
Số dư đầu năm,Năm 2025 > Số dư đầu năm,Số dư đầu năm,509.491,814.942,1.324.433,509491.0,814942.0,1324433.0
Số dư phòng rủi ro trích lập trong năm,Năm 2025 > Số dư phòng rủi ro trích lập trong năm,Số dư phòng rủi ro trích lập trong năm,173.450,153.001,326.451,173450.0,153001.0,326451.0
Số dư phòng hoàn nhập trong năm,Năm 2025 > Số dư phòng hoàn nhập trong năm,Số dư phòng hoàn nhập trong năm,(55.732),(28.672),(84.404),-55732.0,-28672.0,-84404.0
Số dư phòng đã sử dụng để xử lý rủi rotrong năm,Năm 2025 > Số dư phòng đã sử dụng để xử lý rủi rotrong năm,Số dư phòng đã sử dụng để xử lý rủi rotrong năm,(2.022),-,(2.022),-2022.0,,-2022.0
Số dư cuối năm,Năm 2025 > Số dư cuối năm,Số dư cuối năm,625.187,939.271,1.564.458,625187.0,939271.0,1564458.0
Năm 2024,Năm 2024,Năm 2024,Năm 2024,Năm 2024,Năm 2024,,,
Số dư đầu năm,Năm 2024 > Số dư đầu năm,Số dư đầu năm,454.647,745.039,1.199.686,454647.0,745039.0,1199686.0
Số dư phòng rủi ro trích lập trong năm,Năm 2024 > Số dư phòng rủi ro trích lập trong năm,Số dư phòng rủi ro trích lập trong năm,184.520,90.331,274.851,184520.0,90331.0,274851.0
Số dư phòng hoàn nhập trong năm,Năm 2024 > Số dư phòng hoàn nhập trong năm,Số dư phòng hoàn nhập trong năm,(103.010),(20.428),(123.438),-103010.0,-20428.0,-123438.0
Sử dụng dự phòng rủi ro tín dụng trong năm,Năm 2024 > Sử dụng dự phòng rủi ro tín dụng trong năm,Sử dụng dự phòng rủi ro tín dụng trong năm,(26.666),-,(26.666),-26666.0,,-26666.0
Số dư cuối năm,Năm 2024 > Số dư cuối năm,Số dư cuối năm,509.491,814.942,1.324.433,509491.0,814942.0,1324433.0
