row_label_raw,row_label_full,STT,Chì tiêu,Thuyết minh,31/12/2025Triệu VND,31/12/2024Triệu VND,numeric__Chì tiêu,numeric__Thuyết minh,numeric__31/12/2025Triệu VND,numeric__31/12/2024Triệu VND
A,A,A,Tài sản,,,,,,,
I,A > I,I,"Tiền mặt, vàng bạc, đá quý",5.1,585.233,566.449,,51.0,585233.0,566449.0
II,A > II,II,Tiền gửi tại NHNN,5.2,1.219.788,798.225,,52.0,1219788.0,798225.0
III,A > III,III,Tiền gửi và cho vay các TCTD khác,5.3,26.328.326,16.023.622,,53.0,26328326.0,16023622.0
1,A > 1,1,Tiền gửi tại các TCTD khác,,25.819.775,12.454.527,,,25819775.0,12454527.0
2,A > 2,2,Cho vay các TCTD khác,,508.551,3.569.095,,,508551.0,3569095.0
IV,A > IV,IV,Chứng khoán kinh doanh,5.4,22.588.812,24.599.926,,54.0,22588812.0,24599926.0
1,A > 1,1,Chứng khoán kinh doanh,,22.588.812,24.599.926,,,22588812.0,24599926.0
V,A > V,V,Các công cụ tài chính phải sinh và các tài sản tài chính khác,5.5,280.846,184.066,,55.0,280846.0,184066.0
VI,A > VI,VI,Cho vay khách hàng,,124.851.577,108.228.371,,,124851577.0,108228371.0
1,A > 1,1,Cho vay khách hàng,5.6,126.416.035,109.552.804,,56.0,126416035.0,109552804.0
2,A > 2,2,Dự phòng rủi ro cho vay khách hàng,5.7,(1.564.458),(1.324.433),,57.0,-1564458.0,-1324433.0
VII,A > VII,VII,Chứng khoán đầu tư,5.8,12.631.155,9.380.559,,58.0,12631155.0,9380559.0
1,A > 1,1,Chứng khoán đầu tư sẵn sàng để bán,,12.643.232,9.400.555,,,12643232.0,9400555.0
2,A > 2,2,Dự phòng giảm giá chứng khoán đầu tư,,(12.077),(19.996),,,-12077.0,-19996.0
VIII,A > VIII,VIII,"Góp vốn, đầu tư dài hạn",5.9,156.308,273.156,,59.0,156308.0,273156.0
1,A > 1,1,Đầu tư vào công ty con,,127.000,127.000,,,127000.0,127000.0
2,A > 2,2,Đầu tư dài hạn khác,,52.605,168.105,,,52605.0,168105.0
3,A > 3,3,Dự phòng giảm giá đầu tư dài hạn,,(23.297),(21.949),,,-23297.0,-21949.0
IX,A > IX,IX,Tài sản cố định,,1.040.238,1.058.474,,,1040238.0,1058474.0
1,A > 1,1,Tài sản cố định hữu hình,5.10,167.588,171.659,,510.0,167588.0,171659.0
a,A > a,a,Nguyên giá TSCĐ,,545.614,514.432,,,545614.0,514432.0
b,A > b,b,Hao mòn TSCĐ,,(378.026),(342.773),,,-378026.0,-342773.0
2,A > 2,2,Tài sản cố định vô hình,5.11,872.650,886.815,,511.0,872650.0,886815.0
a,A > a,a,Nguyên giá TSCĐ,,1.010.774,1.009.108,,,1010774.0,1009108.0
b,A > b,b,Hao mòn TSCĐ,,(138.124),(122.293),,,-138124.0,-122293.0
X,A > X,X,Tài sản có khác,5.12,6.253.548,4.495.591,,512.0,6253548.0,4495591.0
1,A > 1,1,Các khoản phải thu,,538.620,299.325,,,538620.0,299325.0
2,A > 2,2,"Các khoản lãi, phí phải thu",,5.593.872,4.125.759,,,5593872.0,4125759.0
3,A > 3,3,Tài sản Có khác,,121.056,70.507,,,121056.0,70507.0
,,,Tổng tài sản Có,,195.935.831,165.608.439,,,195935831.0,165608439.0
