row_label_raw,row_label_full,col_0,"Huy động vốn và cho vay, kinh doanh chứng khoán nợ","Huy động vốn và cho vay, kinh doanh chứng khoán nợ_1",Kinh doanh chứng khoán vốn và góp vốn mua cổ phần,Kinh doanh chứng khoán vốn và góp vốn mua cổ phần_1,Hoạt động khác,Hoạt động khác_1,Hoạt động chung không phân bổ,Hoạt động chung không phân bổ_1,Tổng cộng,Tổng cộng_1,"numeric__Huy động vốn và cho vay, kinh doanh chứng khoán nợ","numeric__Huy động vốn và cho vay, kinh doanh chứng khoán nợ_1",numeric__Kinh doanh chứng khoán vốn và góp vốn mua cổ phần,numeric__Kinh doanh chứng khoán vốn và góp vốn mua cổ phần_1,numeric__Hoạt động khác,numeric__Hoạt động khác_1,numeric__Hoạt động chung không phân bổ,numeric__Hoạt động chung không phân bổ_1,numeric__Tổng cộng,numeric__Tổng cộng_1
,,,Năm nayTriệu VND,Năm trướcTriệu VND,Năm nayTriệu VND,Năm trướcTriệu VND,Năm nayTriệu VND,Năm trướcTriệu VND,Năm nayTriệu VND,Năm trướcTriệu VND,Năm nayTriệu VND,Năm trướcTriệu VND,,,,,,,,,,
I. Thu nhập,I. Thu nhập,I. Thu nhập,13.694.009,12.098.605,53.838,12.638,622.060,494.145,-,-,14.369.907,12.605.388,13694009.0,12098605.0,53838.0,12638.0,622060.0,494145.0,,,14369907.0,12605388.0
1. Thu nhập từ lãi,1. Thu nhập từ lãi,1. Thu nhập từ lãi,13.497.927,11.784.427,-,-,58.879,27.686,-,-,13.556.806,11.812.113,13497927.0,11784427.0,,,58879.0,27686.0,,,13556806.0,11812113.0
2. Thu nhập từ hoạt động đầu tư,2. Thu nhập từ hoạt động đầu tư,2. Thu nhập từ hoạt động đầu tư,196.082,314.178,53.838,12.638,-,-,-,-,249.920,326.816,196082.0,314178.0,53838.0,12638.0,,,,,249920.0,326816.0
3. Thu nhập từ hoạt động khác,3. Thu nhập từ hoạt động khác,3. Thu nhập từ hoạt động khác,-,-,-,-,563.181,466.459,-,-,563.181,466.459,,,,,563181.0,466459.0,,,563181.0,466459.0
II. Chi phí,II. Chi phí,II. Chi phí,10.135.312,8.529.162,-,-,223.102,435.903,2.300.997,2.243.744,12.659.411,11.208.809,10135312.0,8529162.0,,,223102.0,435903.0,2300997.0,2243744.0,12659411.0,11208809.0
1. Chi phí lãi và các chi phí tương tự,1. Chi phí lãi và các chi phí tương tự,1. Chi phí lãi và các chi phí tương tự,10.118.009,8.498.660,-,-,-,-,-,-,10.118.009,8.498.660,10118009.0,8498660.0,,,,,,,10118009.0,8498660.0
2. Chi phí liên quan trực tiếp đến hoạt động kinh doanh,2. Chi phí liên quan trực tiếp đến hoạt động kinh doanh,2. Chi phí liên quan trực tiếp đến hoạt động kinh doanh,17.303,30.502,-,-,223.102,435.903,2.247.752,2.193.488,2.488.157,2.659.893,17303.0,30502.0,,,223102.0,435903.0,2247752.0,2193488.0,2488157.0,2659893.0
3. Chi phí khấu hao TSCĐ,3. Chi phí khấu hao TSCĐ,3. Chi phí khấu hao TSCĐ,-,-,-,-,-,-,53.245,50.256,53.245,50.256,,,,,,,53245.0,50256.0,53245.0,50256.0
Kết quả kinh doanh bộ phận trước dự phòng,Kết quả kinh doanh bộ phận trước dự phòng,Kết quả kinh doanh bộ phận trước dự phòng,3.558.697,3.569.443,53.838,12.638,398.958,58.242,(2.300.997),(2.243.744),1.710.496,1.396.579,3558697.0,3569443.0,53838.0,12638.0,398958.0,58242.0,-2300997.0,-2243744.0,1710496.0,1396579.0
1. Chi phí dự phòng rủi ro tín dụng,1. Chi phí dự phòng rủi ro tín dụng,1. Chi phí dự phòng rủi ro tín dụng,242.047,151.413,-,-,-,-,-,-,242.047,151.413,242047.0,151413.0,,,,,,,242047.0,151413.0
Kết quả hoạt động bộ phận,Kết quả hoạt động bộ phận,Kết quả hoạt động bộ phận,3.316.650,3.418.030,53.838,12.638,398.958,58.242,(2.300.997),(2.243.744),1.468.449,1.245.166,3316650.0,3418030.0,53838.0,12638.0,398958.0,58242.0,-2300997.0,-2243744.0,1468449.0,1245166.0
