row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcTriệu VND","Máy móc,thiết bịTriệu VND","Phương tiệnvận tải,truyền đãnTriệu VND","Thiết bị,dụng cụquản lýTriệu VND",CộngTriệu VND,"numeric__Nhà cửa,vật kiến trúcTriệu VND","numeric__Máy móc,thiết bịTriệu VND","numeric__Phương tiệnvận tải,truyền đãnTriệu VND","numeric__Thiết bị,dụng cụquản lýTriệu VND",numeric__CộngTriệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Tại ngày 31/12/2024,Nguyên giá > Tại ngày 31/12/2024,Tại ngày 31/12/2024,62.663,255.571,138.902,57.296,514.432,62663.0,255571.0,138902.0,57296.0,514432.0
Mua sắm trong năm,Nguyên giá > Mua sắm trong năm,Mua sắm trong năm,2.803,7.415,16.777,6.438,33.433,2803.0,7415.0,16777.0,6438.0,33433.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(204),(331),(677),(1.039),(2.251),-204.0,-331.0,-677.0,-1039.0,-2251.0
Tại ngày 31/12/2025,Nguyên giá > Tại ngày 31/12/2025,Tại ngày 31/12/2025,65.262,262.655,155.002,62.695,545.614,65262.0,262655.0,155002.0,62695.0,545614.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,
Tại ngày 31/12/2024,Giá trị hao mòn lũy kế > Tại ngày 31/12/2024,Tại ngày 31/12/2024,35.977,175.404,84.768,46.624,342.773,35977.0,175404.0,84768.0,46624.0,342773.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,2.444,19.448,11.066,4.454,37.412,2444.0,19448.0,11066.0,4454.0,37412.0
"Thanh lý, nhượng bán","Giá trị hao mòn lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(154),(331),(636),(1.038),(2.159),-154.0,-331.0,-636.0,-1038.0,-2159.0
Tại ngày 31/12/2025,Giá trị hao mòn lũy kế > Tại ngày 31/12/2025,Tại ngày 31/12/2025,38.267,194.521,95.198,50.040,378.026,38267.0,194521.0,95198.0,50040.0,378026.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Tại ngày 31/12/2024,Giá trị còn lại > Tại ngày 31/12/2024,Tại ngày 31/12/2024,26.686,80.167,54.134,10.672,171.659,26686.0,80167.0,54134.0,10672.0,171659.0
Tại ngày 31/12/2025,Giá trị còn lại > Tại ngày 31/12/2025,Tại ngày 31/12/2025,26.995,68.134,59.804,12.655,167.588,26995.0,68134.0,59804.0,12655.0,167588.0
