row_label_raw,row_label_full,col_0,"Huy động vốn và cho vay, kinh doanh chứng khoán nợ","Huy động vốn và cho vay, kinh doanh chứng khoán nợ_1",Kinh doanh chứng khoán vốn và góp vốn mua cổ phần,Kinh doanh chứng khoán vốn và góp vốn mua cổ phần_1,Hoạt động khác,Hoạt động khác_1,Hoạt động chung không phân bổ,Hoạt động chung không phân bổ_1,Tổng cộng,Tổng cộng_1,"numeric__Huy động vốn và cho vay, kinh doanh chứng khoán nợ","numeric__Huy động vốn và cho vay, kinh doanh chứng khoán nợ_1",numeric__Kinh doanh chứng khoán vốn và góp vốn mua cổ phần,numeric__Kinh doanh chứng khoán vốn và góp vốn mua cổ phần_1,numeric__Hoạt động khác,numeric__Hoạt động khác_1,numeric__Hoạt động chung không phân bổ,numeric__Hoạt động chung không phân bổ_1,numeric__Tổng cộng,numeric__Tổng cộng_1
,,,31/12/2025Triệu VND,31/12/2024Triệu VND,31/12/2025Triệu VND,31/12/2024Triệu VND,31/12/2025Triệu VND,31/12/2024Triệu VND,31/12/2025Triệu VND,31/12/2024Triệu VND,31/12/2025Triệu VND,31/12/2024Triệu VND,,,,,,,,,,
III. Tài sản bộ phận (*),III. Tài sản bộ phận (*),III. Tài sản bộ phận (*),III. Tài sản bộ phận (*),III. Tài sản bộ phận (*),III. Tài sản bộ phận (*),III. Tài sản bộ phận (*),III. Tài sản bộ phận (*),III. Tài sản bộ phận (*),III. Tài sản bộ phận (*),III. Tài sản bộ phận (*),III. Tài sản bộ phận (*),III. Tài sản bộ phận (*),,,,,,,,,,
"1. Tiền mặt, vàng bạc, đá quý","III. Tài sản bộ phận (*) > 1. Tiền mặt, vàng bạc, đá quý","1. Tiền mặt, vàng bạc, đá quý",-,-,-,-,-,-,585.233,566.449,585.233,566.449,,,,,,,585233.0,566449.0,585233.0,566449.0
2. Tiền gửi tại NHNN,III. Tài sản bộ phận (*) > 2. Tiền gửi tại NHNN,2. Tiền gửi tại NHNN,-,-,-,-,-,-,1.219.788,798.225,1.219.788,798.225,,,,,,,1219788.0,798225.0,1219788.0,798225.0
3. Tiền gửi và cho vay các TCTD khác,III. Tài sản bộ phận (*) > 3. Tiền gửi và cho vay các TCTD khác,3. Tiền gửi và cho vay các TCTD khác,18.935.229,9.694.945,-,-,-,-,7.393.097,6.328.677,26.328.326,16.023.622,18935229.0,9694945.0,,,,,7393097.0,6328677.0,26328326.0,16023622.0
4. Chứng khoán kinh doanh,III. Tài sản bộ phận (*) > 4. Chứng khoán kinh doanh,4. Chứng khoán kinh doanh,22.588.812,24.599.926,-,-,-,-,-,-,22.588.812,24.599.926,22588812.0,24599926.0,,,,,,,22588812.0,24599926.0
5. Các công cụ tài chínhphải sinh và các tài sản tài chính khác,III. Tài sản bộ phận (*) > 5. Các công cụ tài chínhphải sinh và các tài sản tài chính khác,5. Các công cụ tài chínhphải sinh và các tài sản tài chính khác,-,-,-,-,280.846,184.066,-,-,280.846,184.066,,,,,280846.0,184066.0,,,280846.0,184066.0
6. Cho vay khách hàng,III. Tài sản bộ phận (*) > 6. Cho vay khách hàng,6. Cho vay khách hàng,126.416.035,109.552.804,-,-,-,-,-,-,126.416.035,109.552.804,126416035.0,109552804.0,,,,,,,126416035.0,109552804.0
7. Chứng khoán đầu tư,III. Tài sản bộ phận (*) > 7. Chứng khoán đầu tư,7. Chứng khoán đầu tư,12.391.232,9.264.055,252.000,136.500,-,-,-,-,12.643.232,9.400.555,12391232.0,9264055.0,252000.0,136500.0,,,,,12643232.0,9400555.0
"8. Góp vốn, đầu tư dài hạn","III. Tài sản bộ phận (*) > 8. Góp vốn, đầu tư dài hạn","8. Góp vốn, đầu tư dài hạn",-,-,179.605,295.105,-,-,-,-,179.605,295.105,,,179605.0,295105.0,,,,,179605.0,295105.0
9. Tài sản cố định,III. Tài sản bộ phận (*) > 9. Tài sản cố định,9. Tài sản cố định,-,-,-,-,-,-,1.040.238,1.058.474,1.040.238,1.058.474,,,,,,,1040238.0,1058474.0,1040238.0,1058474.0
10. Tài sản có khác,III. Tài sản bộ phận (*) > 10. Tài sản có khác,10. Tài sản có khác,5.471.593,4.096.458,-,-,122.279,29.301,659.676,369.832,6.253.548,4.495.591,5471593.0,4096458.0,,,122279.0,29301.0,659676.0,369832.0,6253548.0,4495591.0
Tổng tài sản,III. Tài sản bộ phận (*) > Tổng tài sản,Tổng tài sản,185.802.901,157.208.188,431.605,431.605,403.125,213.367,10.898.032,9.121.657,197.535.663,166.974.817,185802901.0,157208188.0,431605.0,431605.0,403125.0,213367.0,10898032.0,9121657.0,197535663.0,166974817.0
IV. Nợ phải trả,IV. Nợ phải trả,IV. Nợ phải trả,IV. Nợ phải trả,IV. Nợ phải trả,IV. Nợ phải trả,IV. Nợ phải trả,IV. Nợ phải trả,IV. Nợ phải trả,IV. Nợ phải trả,IV. Nợ phải trả,IV. Nợ phải trả,IV. Nợ phải trả,,,,,,,,,,
1. Các khoản nợ Chính phủ và NHNN,IV. Nợ phải trả > 1. Các khoản nợ Chính phủ và NHNN,1. Các khoản nợ Chính phủ và NHNN,1.022.424,7.504,-,-,-,-,-,-,1.022.424,7.504,1022424.0,7504.0,,,,,,,1022424.0,7504.0
2. Tiền gửi và vay các TCTD khác,IV. Nợ phải trả > 2. Tiền gửi và vay các TCTD khác,2. Tiền gửi và vay các TCTD khác,25.357.302,11.881.039,-,-,-,-,-,-,25.357.302,11.881.039,25357302.0,11881039.0,,,,,,,25357302.0,11881039.0
3. Tiền gửi của khách hàng,IV. Nợ phải trả > 3. Tiền gửi của khách hàng,3. Tiền gửi của khách hàng,127.190.259,122.723.416,-,-,-,-,-,-,127.190.259,122.723.416,127190259.0,122723416.0,,,,,,,127190259.0,122723416.0
