row_label_raw,row_label_full,col_0,Quá hạn,Không bị ảnh hưởng do định lại lãi suất,Đến 01 tháng,Từ trên 01 đến 03 tháng,Từ trên 03 đến 06 tháng,Từ trên 06 đến 12 tháng,Từ trên 01 đến 05 năm,Trên 5 năm,Tổng,numeric__Quá hạn,numeric__Không bị ảnh hưởng do định lại lãi suất,numeric__Đến 01 tháng,numeric__Từ trên 01 đến 03 tháng,numeric__Từ trên 03 đến 06 tháng,numeric__Từ trên 06 đến 12 tháng,numeric__Từ trên 01 đến 05 năm,numeric__Trên 5 năm,numeric__Tổng
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,,,,,,
TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,,,,,,,,,
"I Tiền mặt, vàng bạc, đá quý","TÀI SẢN > I Tiền mặt, vàng bạc, đá quý","I Tiền mặt, vàng bạc, đá quý",-,585.233,-,-,-,-,-,-,585.233,,585233.0,,,,,,,585233.0
II Tiền gửi tại NHNN,TÀI SẢN > II Tiền gửi tại NHNN,II Tiền gửi tại NHNN,-,-,1.219.788,-,-,-,-,-,1.219.788,,,1219788.0,,,,,,1219788.0
III Tiền gửi và cho vay các TCTD khác (*),TÀI SẢN > III Tiền gửi và cho vay các TCTD khác (*),III Tiền gửi và cho vay các TCTD khác (*),-,-,23.319.775,2.500.000,-,508.551,-,-,26.328.326,,,23319775.0,2500000.0,,508551.0,,,26328326.0
IV Chứng khoán kinh doanh (*),TÀI SẢN > IV Chứng khoán kinh doanh (*),IV Chứng khoán kinh doanh (*),-,-,999.245,5.199.128,4.399.988,11.990.451,-,-,22.588.812,,,999245.0,5199128.0,4399988.0,11990451.0,,,22588812.0
V Các công cụ tài chính phải sinh và các tài sản tài chính khác,TÀI SẢN > V Các công cụ tài chính phải sinh và các tài sản tài chính khác,V Các công cụ tài chính phải sinh và các tài sản tài chính khác,-,-,280.846,-,-,-,-,-,280.846,,,280846.0,,,,,,280846.0
VI Cho vay khách hàng (*),TÀI SẢN > VI Cho vay khách hàng (*),VI Cho vay khách hàng (*),1.824.486,-,28.348.052,85.543.780,2.137.464,8.410.512,131.945,19.796,126.416.035,1824486.0,,28348052.0,85543780.0,2137464.0,8410512.0,131945.0,19796.0,126416035.0
VII Chứng khoán đầu tư (*),TÀI SẢN > VII Chứng khoán đầu tư (*),VII Chứng khoán đầu tư (*),-,252.000,-,294.038,-,1.051.228,8.718.276,2.327.690,12.643.232,,252000.0,,294038.0,,1051228.0,8718276.0,2327690.0,12643232.0
"VIII Góp vốn, đầu tư dài hạn (*)","TÀI SẢN > VIII Góp vốn, đầu tư dài hạn (*)","VIII Góp vốn, đầu tư dài hạn (*)",-,179.605,-,-,-,-,-,-,179.605,,179605.0,,,,,,,179605.0
IX Tài sản cố định,TÀI SẢN > IX Tài sản cố định,IX Tài sản cố định,-,1.040.238,-,-,-,-,-,-,1.040.238,,1040238.0,,,,,,,1040238.0
X Tài sản có khác (*),TÀI SẢN > X Tài sản có khác (*),X Tài sản có khác (*),-,6.253.548,-,-,-,-,-,-,6.253.548,,6253548.0,,,,,,,6253548.0
,,,1.824.486,8.310.624,54.167.706,93.536.946,6.537.452,21.960.742,8.850.221,2.347.486,197.535.663,1824486.0,8310624.0,54167706.0,93536946.0,6537452.0,21960742.0,8850221.0,2347486.0,197535663.0
