row_label_raw,row_label_full,(c) Tài sản có khác,(c) Tài sản có khác_1,(c) Tài sản có khác_2,numeric__(c) Tài sản có khác_1,numeric__(c) Tài sản có khác_2
,,,31/12/2025Triệu VND,31/12/2024Triệu VND,,
Công cụ dụng cụ,Công cụ dụng cụ,Công cụ dụng cụ,31.505,30.114,31505.0,30114.0
Chi phí chờ phân bổ,Chi phí chờ phân bổ,Chi phí chờ phân bổ,89.551,40.393,89551.0,40393.0
,,,121.056,70.507,121056.0,70507.0
5.13 Các khoản nợ Chính phủ và NHNN,5.13 Các khoản nợ Chính phủ và NHNN,5.13 Các khoản nợ Chính phủ và NHNN,5.13 Các khoản nợ Chính phủ và NHNN,5.13 Các khoản nợ Chính phủ và NHNN,,
,,,31/12/2025Triệu VND,31/12/2024Triệu VND,,
Vay Ngân hàng Nhà nước,5.13 Các khoản nợ Chính phủ và NHNN > Vay Ngân hàng Nhà nước,Vay Ngân hàng Nhà nước,1.022.424,7.504,1022424.0,7504.0
Vay theo hồ sơ tín dụng,5.13 Các khoản nợ Chính phủ và NHNN > Vay theo hồ sơ tín dụng,Vay theo hồ sơ tín dụng,963,7.504,963.0,7504.0
Vay chiết khấu các giấy tờ có giá,5.13 Các khoản nợ Chính phủ và NHNN > Vay chiết khấu các giấy tờ có giá,Vay chiết khấu các giấy tờ có giá,1.021.461,-,1021461.0,
,,,1.022.424,7.504,1022424.0,7504.0
5.14 Tiền gửi và vay các TCTD khác,5.14 Tiền gửi và vay các TCTD khác,5.14 Tiền gửi và vay các TCTD khác,5.14 Tiền gửi và vay các TCTD khác,5.14 Tiền gửi và vay các TCTD khác,,
,,,31/12/2025Triệu VND,31/12/2024Triệu VND,,
Tiền gửi của các TCTD khác,5.14 Tiền gửi và vay các TCTD khác > Tiền gửi của các TCTD khác,Tiền gửi của các TCTD khác,25.125.705,11.776.283,25125705.0,11776283.0
Tiền gửi không kỳ hạn,5.14 Tiền gửi và vay các TCTD khác > Tiền gửi không kỳ hạn,Tiền gửi không kỳ hạn,6.550.705,4.901.283,6550705.0,4901283.0
Bằng VND,5.14 Tiền gửi và vay các TCTD khác > Bằng VND,Bằng VND,5.905.394,4.901.283,5905394.0,4901283.0
Bằng ngoại tệ,5.14 Tiền gửi và vay các TCTD khác > Bằng ngoại tệ,Bằng ngoại tệ,645.311,-,645311.0,
Tiền gửi có kỳ hạn,5.14 Tiền gửi và vay các TCTD khác > Tiền gửi có kỳ hạn,Tiền gửi có kỳ hạn,18.575.000,6.875.000,18575000.0,6875000.0
Bằng VND,5.14 Tiền gửi và vay các TCTD khác > Bằng VND,Bằng VND,18.575.000,6.400.000,18575000.0,6400000.0
Bằng ngoại tệ,5.14 Tiền gửi và vay các TCTD khác > Bằng ngoại tệ,Bằng ngoại tệ,-,475.000,,475000.0
Vay các TCTD khác,5.14 Tiền gửi và vay các TCTD khác > Vay các TCTD khác,Vay các TCTD khác,231.597,104.756,231597.0,104756.0
Bằng VND,5.14 Tiền gửi và vay các TCTD khác > Bằng VND,Bằng VND,230.956,104.057,230956.0,104057.0
Bằng ngoại tệ,5.14 Tiền gửi và vay các TCTD khác > Bằng ngoại tệ,Bằng ngoại tệ,641,699,641.0,699.0
,,,25.357.302,11.881.039,25357302.0,11881039.0
5.15 Tiền gửi của khách hàng,5.15 Tiền gửi của khách hàng,5.15 Tiền gửi của khách hàng,5.15 Tiền gửi của khách hàng,5.15 Tiền gửi của khách hàng,,
,,,31/12/2025Triệu VND,31/12/2024Triệu VND,,
Tiền gửi không kỳ hạn,5.15 Tiền gửi của khách hàng > Tiền gửi không kỳ hạn,Tiền gửi không kỳ hạn,4.494.221,3.477.925,4494221.0,3477925.0
Bằng VND,5.15 Tiền gửi của khách hàng > Bằng VND,Bằng VND,4.372.006,3.428.068,4372006.0,3428068.0
Bằng ngoại tệ,5.15 Tiền gửi của khách hàng > Bằng ngoại tệ,Bằng ngoại tệ,122.215,49.857,122215.0,49857.0
Tiền gửi có kỳ hạn,5.15 Tiền gửi của khách hàng > Tiền gửi có kỳ hạn,Tiền gửi có kỳ hạn,122.475.577,119.096.213,122475577.0,119096213.0
Bằng VND,5.15 Tiền gửi của khách hàng > Bằng VND,Bằng VND,122.388.390,119.022.338,122388390.0,119022338.0
Bằng ngoại tệ,5.15 Tiền gửi của khách hàng > Bằng ngoại tệ,Bằng ngoại tệ,87.187,73.875,87187.0,73875.0
Tiền gửi vốn chuyên dùng,5.15 Tiền gửi của khách hàng > Tiền gửi vốn chuyên dùng,Tiền gửi vốn chuyên dùng,29,27,29.0,27.0
Bằng ngoại tệ,5.15 Tiền gửi của khách hàng > Bằng ngoại tệ,Bằng ngoại tệ,29,27,29.0,27.0
Tiền gửi ký quỹ,5.15 Tiền gửi của khách hàng > Tiền gửi ký quỹ,Tiền gửi ký quỹ,220.432,149.251,220432.0,149251.0
Bằng VND,5.15 Tiền gửi của khách hàng > Bằng VND,Bằng VND,217.064,148.922,217064.0,148922.0
Bằng ngoại tệ,5.15 Tiền gửi của khách hàng > Bằng ngoại tệ,Bằng ngoại tệ,3.368,329,3368.0,329.0
,,,127.190.259,122.723.416,127190259.0,122723416.0
