row_label_raw,row_label_full,Đầu tư nằm giữ đến ngày đáo hạn- Tiền gửi có kỳ hạn,Đầu tư nằm giữ đến ngày đáo hạn- Tiền gửi có kỳ hạn_1,Số cuối năm > Giá gốcVND > 13.450.000.000.000 > Số cuối năm > Giá gốcVND,Số cuối năm > Giá trị ghi sốVND > 13.450.000.000.000 > Số cuối năm > Dự phòngVND,Số cuối năm > Giá gốcVND > 5.750.000.000.000 > Số cuối năm > Giá trị hợp lýVND,Số đầu năm > Giá gốcVND > 5.750.000.000.000 > Số đầu năm > Giá gốcVND,Số đầu năm > Giá trị ghi sốVND > Số đầu năm > Dự phòngVND,Số đầu năm > Giá trị hợp lýVND,numeric__Đầu tư nằm giữ đến ngày đáo hạn- Tiền gửi có kỳ hạn_1,numeric__Số cuối năm > Giá gốcVND > 13.450.000.000.000 > Số cuối năm > Giá gốcVND,numeric__Số cuối năm > Giá trị ghi sốVND > 13.450.000.000.000 > Số cuối năm > Dự phòngVND,numeric__Số cuối năm > Giá gốcVND > 5.750.000.000.000 > Số cuối năm > Giá trị hợp lýVND,numeric__Số đầu năm > Giá gốcVND > 5.750.000.000.000 > Số đầu năm > Giá gốcVND,numeric__Số đầu năm > Giá trị ghi sốVND > Số đầu năm > Dự phòngVND,numeric__Số đầu năm > Giá trị hợp lýVND
Đầu tư vào công ty con,Đầu tư vào công ty con,Đầu tư vào công ty con,Đầu tư vào công ty con,3.701.528.571.633,(536.377.996.359),4.311.327.490.441,3.707.202.749.121,(383.515.571.460),4.393.426.978.540,,3701528571633.0,-536377996359.0,4311327490441.0,3707202749121.0,-383515571460.0,4393426978540.0
Công ty Cổ phần Sản xuất Ông thép Dầu khí Việt Nam,Công ty Cổ phần Sản xuất Ông thép Dầu khí Việt Nam,Công ty Cổ phần Sản xuất Ông thép Dầu khí Việt Nam,(i),1.858.375.690.000,(536.377.996.359),1.321.997.693.641,1.858.375.690.000,(383.515.571.460),1.474.860.118.540,,1858375690000.0,-536377996359.0,1321997693641.0,1858375690000.0,-383515571460.0,1474860118540.0
Công ty Cổ phần Phân phối Khí thấp áp Dầu khí Việt Nam,Công ty Cổ phần Phân phối Khí thấp áp Dầu khí Việt Nam,Công ty Cổ phần Phân phối Khí thấp áp Dầu khí Việt Nam,,837.605.785.000,-,1.704.375.000.000,837.605.785.000,-,1.781.640.000.000,,837605785000.0,,1704375000000.0,837605785000.0,,1781640000000.0
Công ty Cổ phần CNG Việt Nam,Công ty Cổ phần CNG Việt Nam,Công ty Cổ phần CNG Việt Nam,,481.819.822.512,-,482.328.000.000,487.494.000.000,-,616.896.000.000,,481819822512.0,,482328000000.0,487494000000.0,,616896000000.0
Công ty Cổ phần Kinh doanh Khí Miền Nam,Công ty Cổ phần Kinh doanh Khí Miền Nam,Công ty Cổ phần Kinh doanh Khí Miền Nam,,226.460.000.000,-,440.789.475.000,226.460.000.000,-,280.342.106.100,,226460000000.0,,440789475000.0,226460000000.0,,280342106100.0
Công ty Cổ phần Bọc ống Dầu khí Việt Nam,Công ty Cổ phần Bọc ống Dầu khí Việt Nam,Công ty Cổ phần Bọc ống Dầu khí Việt Nam,,127.902.365.221,-,233.253.600.000,127.902.365.221,-,120.057.000.000,,127902365221.0,,233253600000.0,127902365221.0,,120057000000.0
Công ty Cổ phần Kinh doanh Khí Miền Bắc,Công ty Cổ phần Kinh doanh Khí Miền Bắc,Công ty Cổ phần Kinh doanh Khí Miền Bắc,,118.364.908.900,-,77.583.721.800,118.364.908.900,-,68.631.753.900,,118364908900.0,,77583721800.0,118364908900.0,,68631753900.0
Công ty Cổ phần LNG Việt Nam,Công ty Cổ phần LNG Việt Nam,Công ty Cổ phần LNG Việt Nam,(i),51.000.000.000,-,51.000.000.000,51.000.000.000,-,51.000.000.000,,51000000000.0,,51000000000.0,51000000000.0,,51000000000.0
"Đầu tư vào công ty liên doanh, liên kết","Đầu tư vào công ty liên doanh, liên kết","Đầu tư vào công ty liên doanh, liên kết",,58.000.000.000,-,58.000.000.000,106.240.000.000,-,115.620.000.000,,58000000000.0,,58000000000.0,106240000000.0,,115620000000.0
Công ty TNHH Khí nhiên liệu Giao thông vận tải PVGazprom,Công ty TNHH Khí nhiên liệu Giao thông vận tải PVGazprom,Công ty TNHH Khí nhiên liệu Giao thông vận tải PVGazprom,(i),58.000.000.000,-,58.000.000.000,58.000.000.000,-,58.000.000.000,,58000000000.0,,58000000000.0,58000000000.0,,58000000000.0
Công ty Cổ phần Đầu tư Phát triển Gas đô thị,Công ty Cổ phần Đầu tư Phát triển Gas đô thị,Công ty Cổ phần Đầu tư Phát triển Gas đô thị,(ii),-,-,-,48.240.000.000,-,57.620.000.000,,,,,48240000000.0,,57620000000.0
Đầu tư vào đơn vị khác,Đầu tư vào đơn vị khác,Đầu tư vào đơn vị khác,,24.120.000.000,-,37.520.000.000,-,-,-,,24120000000.0,,37520000000.0,,,
Công ty Cổ phần Đầu tư Phát triển Gas đô thị,Công ty Cổ phần Đầu tư Phát triển Gas đô thị,Công ty Cổ phần Đầu tư Phát triển Gas đô thị,(ii),24.120.000.000,-,37.520.000.000,-,-,-,,24120000000.0,,37520000000.0,,,
