row_label_raw,row_label_full,Đổi tượng,Số cuối năm > Giá gốcVND,Số cuối năm > Giá trị có thể thu hồiVND,Số đầu năm > Giá gốcVND,Số đầu năm > Giá trị có thể thu hồiVND,numeric__Số cuối năm > Giá gốcVND,numeric__Số cuối năm > Giá trị có thể thu hồiVND,numeric__Số đầu năm > Giá gốcVND,numeric__Số đầu năm > Giá trị có thể thu hồiVND
Phải thu khó có khả năng thu hồi,Phải thu khó có khả năng thu hồi,Phải thu khó có khả năng thu hồi,359.560.836.424,135.489.573.558,70.025.607.112,10.999.127.123,359560836424.0,135489573558.0,70025607112.0,10999127123.0
a) Quá hạn trên 3 năm,a) Quá hạn trên 3 năm,a) Quá hạn trên 3 năm,,,,,,,,
Công ty Cổ phần Phát triển Đô thị Dầu khí,a) Quá hạn trên 3 năm > Công ty Cổ phần Phát triển Đô thị Dầu khí,Công ty Cổ phần Phát triển Đô thị Dầu khí,50.000.000.000,-,50.000.000.000,-,50000000000.0,,50000000000.0,
Tổng Công ty Tư vấn thiết kế Dầu khí - CTCP,a) Quá hạn trên 3 năm > Tổng Công ty Tư vấn thiết kế Dầu khí - CTCP,Tổng Công ty Tư vấn thiết kế Dầu khí - CTCP,46.776.684.769,-,-,-,46776684769.0,,,
Công ty Cổ phần Sản xuất Ông thép Dầu khí Việt Nam,a) Quá hạn trên 3 năm > Công ty Cổ phần Sản xuất Ông thép Dầu khí Việt Nam,Công ty Cổ phần Sản xuất Ông thép Dầu khí Việt Nam,2.328.881.691,-,-,-,2328881691.0,,,
Công ty TNHH Gas Khánh Hòa,a) Quá hạn trên 3 năm > Công ty TNHH Gas Khánh Hòa,Công ty TNHH Gas Khánh Hòa,852.009.314,-,852.009.314,-,852009314.0,,852009314.0,
b) Quá hạn từ 2 năm đến dưới 3 năm,b) Quá hạn từ 2 năm đến dưới 3 năm,b) Quá hạn từ 2 năm đến dưới 3 năm,,,,,,,,
Tổng Công ty Tư vấn thiết kế Dầu khí - CTCP,b) Quá hạn từ 2 năm đến dưới 3 năm > Tổng Công ty Tư vấn thiết kế Dầu khí - CTCP,Tổng Công ty Tư vấn thiết kế Dầu khí - CTCP,22.499.138.786,6.749.741.636,-,-,22499138786.0,6749741636.0,,
Công ty Cổ phần Năng lượng Đất Việt,b) Quá hạn từ 2 năm đến dưới 3 năm > Công ty Cổ phần Năng lượng Đất Việt,Công ty Cổ phần Năng lượng Đất Việt,9.906.135.711,2.971.840.713,-,-,9906135711.0,2971840713.0,,
Công ty TNHH Đầu tư Minh Quang,b) Quá hạn từ 2 năm đến dưới 3 năm > Công ty TNHH Đầu tư Minh Quang,Công ty TNHH Đầu tư Minh Quang,1.342.878.942,402.863.683,-,-,1342878942.0,402863683.0,,
