row_label_raw,row_label_full,col_0,Năm nayVND,Năm trướcVND,numeric__Năm nayVND,numeric__Năm trướcVND
Tổng doanh thu bán hàng và cung cấp dịch vụ,Tổng doanh thu bán hàng và cung cấp dịch vụ,Tổng doanh thu bán hàng và cung cấp dịch vụ,Tổng doanh thu bán hàng và cung cấp dịch vụ,Tổng doanh thu bán hàng và cung cấp dịch vụ,,
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Doanh thu bán khí khô,Trong đó: > Doanh thu bán khí khô,Doanh thu bán khí khô,36.021.155.169.754,33.995.239.697.226,36021155169754.0,33995239697226.0
Doanh thu bán LPG,Trong đó: > Doanh thu bán LPG,Doanh thu bán LPG,16.631.873.233.173,13.026.281.541.690,16631873233173.0,13026281541690.0
Doanh thu vận chuyển khí và condensate,Trong đó: > Doanh thu vận chuyển khí và condensate,Doanh thu vận chuyển khí và condensate,4.296.491.395.666,4.321.386.195.459,4296491395666.0,4321386195459.0
Doanh thu bán condensate,Trong đó: > Doanh thu bán condensate,Doanh thu bán condensate,659.589.657.858,387.270.748.532,659589657858.0,387270748532.0
Doanh thu cho thuê tòa nhà PVGAS Tower,Trong đó: > Doanh thu cho thuê tòa nhà PVGAS Tower,Doanh thu cho thuê tòa nhà PVGAS Tower,46.583.630.218,42.134.102.527,46583630218.0,42134102527.0
Doanh thu khác,Trong đó: > Doanh thu khác,Doanh thu khác,125.472.569.188,124.303.916.549,125472569188.0,124303916549.0
,,,57.781.165.655.857,51.896.616.201.983,57781165655857.0,51896616201983.0
Doanh thu phát sinh trong năm với các bên liên quan (chi tiết trình bày tại Thuyết minh số 35),Trong đó: > Doanh thu phát sinh trong năm với các bên liên quan (chi tiết trình bày tại Thuyết minh số 35),Doanh thu phát sinh trong năm với các bên liên quan (chi tiết trình bày tại Thuyết minh số 35),22.461.958.525.353,20.885.958.095.090,22461958525353.0,20885958095090.0
