row_label_raw,row_label_full,col_0,Nhà cửa và vật kiến trúc,Máy móc và thiết bị,Phương tiện vận tải và thiết bị truyền dẫn,Thiết bị văn phòng,Khác,Tổng cộng,numeric__Nhà cửa và vật kiến trúc,numeric__Máy móc và thiết bị,numeric__Phương tiện vận tải và thiết bị truyền dẫn,numeric__Thiết bị văn phòng,numeric__Khác,numeric__Tổng cộng
,,,VND,VND,VND,VND,VND,VND,,,,,,
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,4.697.027.597.403,750.866.558.647,123.203.720.232,230.752.766.118,31.223.830.490.362,37.025.681.132.762,4697027597403.0,750866558647.0,123203720232.0,230752766118.0,31223830490362.0,37025681132762.0
Đầu tư xây dựng cơ bản hoàn thành,NGUYÊN GIÁ > Đầu tư xây dựng cơ bản hoàn thành,Đầu tư xây dựng cơ bản hoàn thành,10.595.234.348,121.647.047.766,-,-,283.264.194.243,415.506.476.357,10595234348.0,121647047766.0,,,283264194243.0,415506476357.0
Mua sắm mới,NGUYÊN GIÁ > Mua sắm mới,Mua sắm mới,10.593.514.689,19.630.483.355,1.967.295.455,67.974.128.146,7.230.177.419,107.395.599.064,10593514689.0,19630483355.0,1967295455.0,67974128146.0,7230177419.0,107395599064.0
"Thanh lý, nhượng bán","NGUYÊN GIÁ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(572.806.345),-,(2.248.983.180),(759.587.740),(3.581.377.265),,-572806345.0,,-2248983180.0,-759587740.0,-3581377265.0
Phân loại lại,NGUYÊN GIÁ > Phân loại lại,Phân loại lại,147.511.458.711,(109.800.000),-,467.877.273,(147.869.535.984),-,147511458711.0,-109800000.0,,467877273.0,-147869535984.0,
Khác,NGUYÊN GIÁ > Khác,Khác,(2.924.417.000),-,-,(1.769.082.904),(1.629.054.000),(6.322.553.904),-2924417000.0,,,-1769082904.0,-1629054000.0,-6322553904.0
Số dư cuối năm,NGUYÊN GIÁ > Số dư cuối năm,Số dư cuối năm,4.862.803.388.151,891.461.483.423,125.171.015.687,295.176.705.453,31.364.066.684.300,37.538.679.277.014,4862803388151.0,891461483423.0,125171015687.0,295176705453.0,31364066684300.0,37538679277014.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,,,,
Số dư đầu năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư đầu năm,Số dư đầu năm,2.340.932.685.470,454.744.937.082,110.403.575.663,156.207.538.497,20.375.725.731.359,23.438.014.468.071,2340932685470.0,454744937082.0,110403575663.0,156207538497.0,20375725731359.0,23438014468071.0
Trích khấu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Trích khấu hao trong năm,Trích khấu hao trong năm,364.637.691.229,65.489.307.462,5.417.197.185,43.503.165.877,1.789.632.338.569,2.268.679.700.322,364637691229.0,65489307462.0,5417197185.0,43503165877.0,1789632338569.0,2268679700322.0
"Thanh lý, nhượng bán","GIÁ TRỊ HAO MÒN LỦY KẾ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(572.806.345),-,(2.248.983.180),(759.587.740),(3.581.377.265),,-572806345.0,,-2248983180.0,-759587740.0,-3581377265.0
Phân loại lại,GIÁ TRỊ HAO MÒN LỦY KẾ > Phân loại lại,Phân loại lại,13.248.438.882,-,-,-,(13.248.438.882),-,13248438882.0,,,,-13248438882.0,
Số dư cuối năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư cuối năm,Số dư cuối năm,2.718.818.815.581,519.661.438.199,115.820.772.848,197.461.721.194,22.151.350.043.306,25.703.112.791.128,2718818815581.0,519661438199.0,115820772848.0,197461721194.0,22151350043306.0,25703112791128.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,,,
Tại ngày đầu năm,GIÁ TRỊ CÒN LẠI > Tại ngày đầu năm,Tại ngày đầu năm,2.356.094.911.933,296.121.621.565,12.800.144.569,74.545.227.621,10.848.104.759.003,13.587.666.664.691,2356094911933.0,296121621565.0,12800144569.0,74545227621.0,10848104759003.0,13587666664691.0
Tại ngày cuối năm,GIÁ TRỊ CÒN LẠI > Tại ngày cuối năm,Tại ngày cuối năm,2.143.984.572.570,371.800.045.224,9.350.242.839,97.714.984.259,9.212.716.640.994,11.835.566.485.886,2143984572570.0,371800045224.0,9350242839.0,97714984259.0,9212716640994.0,11835566485886.0
