row_label_raw,row_label_full,col_0,Quyềnsử dụng đất,Phần mềmmáy tính,Tổng cộng,numeric__Quyềnsử dụng đất,numeric__Phần mềmmáy tính,numeric__Tổng cộng
,,,VND,VND,VND,,,
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,290.364.012.000,80.363.139.840,370.727.151.840,290364012000.0,80363139840.0,370727151840.0
Mua sắm mới,NGUYÊN GIÁ > Mua sắm mới,Mua sắm mới,-,25.395.957.082,25.395.957.082,,25395957082.0,25395957082.0
Chuyển nhượng (i),NGUYÊN GIÁ > Chuyển nhượng (i),Chuyển nhượng (i),(4.205.840.000),-,(4.205.840.000),-4205840000.0,,-4205840000.0
Tăng khác,NGUYÊN GIÁ > Tăng khác,Tăng khác,20.312.433.955,-,20.312.433.955,20312433955.0,,20312433955.0
Số dư cuối năm,NGUYÊN GIÁ > Số dư cuối năm,Số dư cuối năm,306.470.605.955,105.759.096.922,412.229.702.877,306470605955.0,105759096922.0,412229702877.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,
Số dư đầu năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư đầu năm,Số dư đầu năm,3.470.949.505,53.675.384.381,57.146.333.886,3470949505.0,53675384381.0,57146333886.0
Trích khấu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Trích khấu hao trong năm,Trích khấu hao trong năm,334.753.727,15.119.555.682,15.454.309.409,334753727.0,15119555682.0,15454309409.0
Chuyển nhượng (i),GIÁ TRỊ HAO MÒN LỦY KẾ > Chuyển nhượng (i),Chuyển nhượng (i),(766.337.195),-,(766.337.195),-766337195.0,,-766337195.0
Số dư cuối năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư cuối năm,Số dư cuối năm,3.039.366.037,68.794.940.063,71.834.306.100,3039366037.0,68794940063.0,71834306100.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,
Tại ngày đầu năm,GIÁ TRỊ CÒN LẠI > Tại ngày đầu năm,Tại ngày đầu năm,286.893.062.495,26.687.755.459,313.580.817.954,286893062495.0,26687755459.0,313580817954.0
Tại ngày cuối năm,GIÁ TRỊ CÒN LẠI > Tại ngày cuối năm,Tại ngày cuối năm,303.431.239.918,36.964.156.859,340.395.396.777,303431239918.0,36964156859.0,340395396777.0
